,dep,version,filepath,type,condition,status
0,aiounittest,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/requirements.txt,*,*@*,*
1,botbuilder-schema,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/requirements.txt,*,*@*,*
2,botbuilder-dialogs,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/requirements.txt,*,*@*,*
3,botbuilder-core,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/requirements.txt,*,*@*,*
4,botbuilder-schema,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/setup.py,install_requires,*@*,*
5,botbuilder-core,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/setup.py,install_requires,*@*,*
6,botbuilder-dialogs,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/setup.py,install_requires,*@*,*
7,botbuilder-azure,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/setup.py,install_requires,*@*,*
8,pytest,~=7.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/setup.py,install_requires,*@*,*
9,aiounittest,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-testing/setup.py,install_requires,*@*,*
11,botframework-connector,>=4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botframework-streaming/requirements.txt,*,*@*,*
12,botbuilder-schema,>=4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botframework-streaming/requirements.txt,*,*@*,*
13,msrest,==0.6.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botframework-streaming/requirements.txt,*,*@*,*
14,botbuilder-schema,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botframework-streaming/setup.py,install_requires,*@*,*
15,botframework-connector,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botframework-streaming/setup.py,install_requires,*@*,*
16,applicationinsights,>=0.11.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
17,aiohttp,==3.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
18,botbuilder-schema,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
19,botframework-connector,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
20,botbuilder-core,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
21,botbuilder-applicationinsights,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
22,aiounittest,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-integration-applicationinsights-aiohttp/setup.py,install_requires,*@*,*
24,aiounittest,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-applicationinsights/requirements.txt,*,*@*,*
25,msrest,==0.6.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-applicationinsights/requirements.txt,*,*@*,*
26,botbuilder-core,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-applicationinsights/requirements.txt,*,*@*,*
27,applicationinsights,==0.11.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-applicationinsights/setup.py,install_requires,*@*,*
28,botbuilder-schema,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-applicationinsights/setup.py,install_requires,*@*,*
29,botframework-connector,==4.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/botbuilder-python/libraries/botbuilder-applicationinsights/setup.py,install_requires,*@*,*
