,dep,version,filepath,type,condition,status
0,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
1,restructuredtext-lint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
2,myst-nb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
3,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
4,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
5,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
6,numdifftools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
7,mypy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
8,flake8-print,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
9,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
10,towncrier,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
11,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
12,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/requirements-dev.txt,*,*@*,*
13,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,setup_requires,@*,*
14,numpy,"!=1.17.*,<1.20",/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,setup_requires,@*,*
15,pybind11,>=1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,setup_requires,@*,*
16,scipy,!=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,setup_requires,@*,*
17,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,setup_requires,@*,*
19,mpi4py,>=3,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
20,nitime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
22,scikit-learn,>=0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
24,statsmodels,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
25,pymanopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
26,theano,>=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
28,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
29,nibabel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
30,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
31,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
32,pydicom,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,install_requires,@*,*
33,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,extras_require,@*,*
34,tensorflow_probability,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/setup.py,extras_require,@*,*
35,nilearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/searchlight/requirements.txt,*,*@*,*
36,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/searchlight/requirements.txt,*,*@*,*
37,notebook,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/eventseg/requirements.txt,*,*@*,*
38,deepdish,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/eventseg/requirements.txt,*,*@*,*
39,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/eventseg/requirements.txt,*,*@*,*
40,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/eventseg/requirements.txt,*,*@*,*
41,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/eventseg/requirements.txt,*,*@*,*
42,hypertools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/factoranalysis/requirements.txt,*,*@*,*
43,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/factoranalysis/requirements.txt,*,*@*,*
44,nibabel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/factoranalysis/requirements.txt,*,*@*,*
45,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/factoranalysis/requirements.txt,*,*@*,*
46,nilearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/factoranalysis/requirements.txt,*,*@*,*
47,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/reprsimil/requirements.txt,*,*@*,*
48,notebook,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/funcalign/requirements.txt,*,*@*,*
49,nilearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/funcalign/requirements.txt,*,*@*,*
50,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/funcalign/requirements.txt,*,*@*,*
51,wget,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/funcalign/requirements.txt,*,*@*,*
52,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/hyperparamopt/requirements.txt,*,*@*,*
53,nibabel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/utils/requirements.txt,*,*@*,*
54,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/utils/requirements.txt,*,*@*,*
55,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brainiak/examples/isc/requirements.txt,*,*@*,*
