,dep,version,filepath,type,condition,status
0,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,setup_requires,@*,*
1,torch,>=1.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,install_requires,@*,*
2,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,install_requires,@*,*
3,dependencies,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,install_requires,@*,*
4,typing-extensions,>=3.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,install_requires,@*,*
5,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,install_requires,@*,*
6,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
7,nbmake,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
8,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
9,m2r2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
10,nbsphinx-link,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
11,pydata-sphinx-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
12,sphinxemoji,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
13,sphinx-gallery,==0.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
14,nbsphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
15,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
16,sphinx,==5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
17,sphinxcontrib-napoleon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
18,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
19,onnxoptimizer,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
20,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
21,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
22,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
23,pytest_cases,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
24,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
25,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
26,hypothesis,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
27,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
29,pytest-mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
30,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
31,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
32,librosa,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
33,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
34,soundfile,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
35,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
37,inflect,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
39,unidecode,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
40,sox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
41,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
42,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
45,torch-stft,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
46,ruamel.yaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
47,pillow,>=4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
49,onnxruntime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
50,bitstring,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
53,qonnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
54,toposort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/setup.py,extras_require,@*,*
58,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/requirements/requirements-test.txt,*,*@*,*
59,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/requirements/requirements-test.txt,*,*@*,*
60,pytest_cases,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/requirements/requirements-test.txt,*,*@*,*
61,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/requirements/requirements-test.txt,*,*@*,*
62,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/requirements/requirements-test.txt,*,*@*,*
63,hypothesis,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/brevitas/requirements/requirements-test.txt,*,*@*,*
