,dep,version,filepath,type,condition,status
0,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
1,xlsxwriter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
2,tfaip,==1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
3,lxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
4,tensorflow,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
5,python-bidi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
6,edit_distance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/requirements.txt,*,*@*,*
7,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
8,xlsxwriter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
9,tfaip,==1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
10,lxml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
11,tensorflow,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
12,python-bidi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
13,edit_distance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
14,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
15,sphinx-prompt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
16,myst-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
17,sphinx_substitution_extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
18,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/setup.py,install_requires,@*,*
19,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/docs/requirements.txt,*,*@*,*
20,sphinx-prompt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/docs/requirements.txt,*,*@*,*
21,myst-parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/docs/requirements.txt,*,*@*,*
22,sphinx_substitution_extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/docs/requirements.txt,*,*@*,*
23,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/calamari/docs/requirements.txt,*,*@*,*
