,dep,version,filepath,type,condition,status
0,neptune-client,>=0.9.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-neptune.txt,*,*@*,*
1,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,*,*@*,*
2,torch_tb_profiler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-profiler.txt,*,*@*,*
3,comet_ml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-comet.txt,*,*@*,*
4,hydra-slayer,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,*,*@*,*
5,tqdm,>=4.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,*,*@*,*
6,numpy,>=1.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,*,*@*,*
7,tensorboardX,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,*,*@*,*
8,accelerate,>=0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,*,*@*,*
9,torch,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,*,*@*,*
10,matplotlib,>=3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-ml.txt,*,*@*,*
11,scikit-learn,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-ml.txt,*,*@*,*
12,scipy,>=1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-ml.txt,*,*@*,*
13,pandas,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-ml.txt,*,*@*,*
14,onnxruntime-gpu,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-onnx-gpu.txt,*,*@*,*
15,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-onnx-gpu.txt,*,*@*,*
16,deepspeed,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-deepspeed.txt,*,*@*,*
17,optuna,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-optuna.txt,*,*@*,*
18,Jinja2,<=3.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
19,mock,==3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
20,black,==21.8b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
21,sphinx,==2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
22,click,<=8.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
23,catalyst-codestyle,==21.09.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
24,catalyst-sphinx-theme,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
25,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
26,path,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
27,pre-commit,==2.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
28,docutils,==0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
29,tomlkit,==0.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-dev.txt,*,*@*,*
30,onnx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-onnx.txt,*,*@*,*
31,onnxruntime,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-onnx.txt,*,*@*,*
32,mlflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-mlflow.txt,*,*@*,*
33,imageio,>=2.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-cv.txt,*,*@*,*
34,Pillow,>=6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-cv.txt,*,*@*,*
