,dep,version,filepath,bloated,cve,affected versions,advisory
0,neptune-client,>=0.9.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-neptune.txt,False,no one,no one,no one
1,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,PVE-2022-47988,<0.12.12,"Wandb 0.12.12 fixes an unsafe temporary file creation vulnerability.
https://github.com/wandb/client/pull/3360"
2,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2021-33503,<0.12.18,Wandb 0.12.18 updates its dependency 'urllib3' to v1.26.5 to include security fixes.
3,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2020-7212,<0.12.18,Wandb 0.12.18 updates its dependency 'urllib3' to v1.26.5 to include security fixes.
4,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2020-11078,<0.12.18,Wandb 0.12.18 updates its dependency 'httplib2' to v0.19.0 to include security fixes.
5,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2020-26137,<0.12.18,Wandb 0.12.18 updates its dependency 'urllib3' to v1.26.5 to include security fixes.
6,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2020-13757,<0.12.18,Wandb 0.12.18 updates its dependency 'rsa' to v4.7 to include security fixes.
7,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2020-25658,<0.12.18,Wandb 0.12.18 updates its dependency 'rsa' to v4.7 to include security fixes.
8,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2021-21240,<0.12.18,Wandb 0.12.18 updates its dependency 'httplib2' to v0.19.0 to include security fixes.
9,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,PVE-2021-37149,<0.8.0,Socket in wandb 0.8.0 only binds to localhost for improved security and prevents firewall warnings in OSX.
10,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-wandb.txt,False,CVE-2017-18342,<0.8.2,"Wandb 0.8.2 updates the pyyaml requirement to address a CVE. No CVE number was mentioned, but it is probably CVE-2017-18342."
11,torch_tb_profiler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-profiler.txt,False,no one,no one,no one
12,comet_ml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-comet.txt,False,no one,no one,no one
13,hydra-slayer,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,no one,no one,no one
14,tqdm,>=4.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,no one,no one,no one
15,numpy,>=1.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
16,numpy,>=1.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
17,numpy,>=1.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
18,numpy,>=1.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
19,tensorboardX,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,no one,no one,no one
20,accelerate,>=0.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,no one,no one,no one
21,torch,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
22,matplotlib,>=3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-ml.txt,False,no one,no one,no one
23,scikit-learn,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/catalyst/requirements/requirements-ml.txt,False,CVE-2020-13092,">=0,<0.23.1","** DISPUTED ** scikit-learn (aka sklearn) through 0.23.0 can unserialize and execute commands from an untrusted file that is passed to the joblib.load() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the joblib.load() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
