,dep,version,filepath,type,condition,status
0,mkdocs-bootswatch,==1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
1,mkdocs-material,==4.6.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
2,gym,<=0.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
3,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
4,markdown-katex,==202112.1034,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
5,pycodestyle,>=2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
6,pygments,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
7,python-markdown-math,==0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
8,mkdocs,==1.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
9,mkdocstrings,==0.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
10,mkdocstrings-python-legacy,==0.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
11,pymdown-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/requirements-dev.txt,*,*@*,*
12,numpy,>=1.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/setup.py,install_requires,@*,*
13,gym,>=0.10.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/setup.py,install_requires,@*,*
14,torch,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/setup.py,install_requires,@*,*
15,dotmap,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/setup.py,install_requires,@*,*
16,wandb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cherry/benchmarks/requirements.txt,*,*@*,*
