,dep,version,filepath,type,condition,status
0,nose,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
1,pycodestyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
2,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
4,mnist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
5,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
6,tensorflow-probability,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
7,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
8,easydict,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
9,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
10,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,install_requires,@*,*
11,jax,>=0.2.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,extras_require,@*,*
12,jaxlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,extras_require,@*,*
13,tensorflow,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,extras_require,@*,*
15,tensorflow-datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,extras_require,@*,*
16,torch,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,extras_require,@*,*
17,torchvision,>=0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/setup.py,extras_require,@*,*
18,absl-py,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements.txt,*,*@*,*
19,scipy,>=1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements.txt,*,*@*,*
20,numpy,>=1.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements.txt,*,*@*,*
21,easydict,>=1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements.txt,*,*@*,*
22,requests,>=2.25.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements.txt,*,*@*,*
23,pytest,>=6.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-dev.txt,*,*@*,*
24,black,>=20.8b1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-dev.txt,*,*@*,*
25,mypy,>=0.790,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-dev.txt,*,*@*,*
26,mypy-extensions,>=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-dev.txt,*,*@*,*
27,flake8,>=3.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-dev.txt,*,*@*,*
28,pre-commit,>=2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-dev.txt,*,*@*,*
29,jaxlib,>=0.1.60+cuda101,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-gpu.txt,*,*@*,*
30,torch,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-pytorch.txt,*,*@*,*
31,torchvision,>=0.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-pytorch.txt,*,*@*,*
32,jax,>=0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-jax.txt,*,*@*,*
33,jaxlib,>=0.1.60,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-jax.txt,*,*@*,*
34,tensorflow-datasets,>=4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-tf2.txt,*,*@*,*
35,tensorflow,>=2.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/requirements/requirements-tf2.txt,*,*@*,*
36,nose,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
37,pycodestyle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
38,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
39,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
40,mnist,~= 0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
41,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
42,tensorflow-probability,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
43,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,install_requires,@*,*
44,tensorflow,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,extras_require,@*,*
45,tensorflow-gpu,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,extras_require,@*,*
46,torch,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,extras_require,@*,*
47,torchvision,==0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/setup.py,extras_require,@*,*
48,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cleverhans/cleverhans_v3.1.0/docsource/docs_requirements.txt,*,*@*,*
