,dep,version,filepath,type,condition,status
0,PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
1,typing_extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@ python_version < '3.10',*
2,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
3,pathtools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
4,protobuf,">=3.19.0,!=4.21.0,<5",/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@ python_version > '3.9' and sys_platform == 'linux',*
5,dataclasses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@ python_version < '3.7',*
6,Click,">=7.1,!=8.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
7,psutil,>=5.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
8,requests,">=2.0.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
9,GitPython,">=1.0.0,!=3.1.29",/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
11,sentry-sdk,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
12,protobuf,">=3.12.0,!=4.21.0,<5",/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@ python_version < '3.9' and sys_platform == 'linux',*
13,protobuf,">=3.15.0,!=4.21.0,<5",/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@ python_version == '3.9' and sys_platform == 'linux',*
14,appdirs,>=1.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
15,setproctitle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
16,docker-pycreds,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements.txt,*,*@*,*
17,wheel,>=0.38.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_build.txt,*,*@*,*
18,libcst,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_build.txt,*,*@*,*
19,grpcio-tools,>=1.46.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_build.txt,*,*@*,*
20,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_build.txt,*,*@*,*
21,bumpversion,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_build.txt,*,*@*,*
22,grpcio,>=1.46.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_build.txt,*,*@*,*
23,bokeh,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_dev.txt,*,*@*,*
24,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_dev.txt,*,*@*,*
25,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/client/requirements_dev.txt,*,*@*,*
