,dep,version,filepath,type,condition,status
0,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
1,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
2,WebTest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
3,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
4,pyfakefs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
5,selenium,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
6,paramiko,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
7,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
8,crcmod,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
9,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
10,gunicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
11,grpcio-tools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
12,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
13,pylint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
14,parameterized,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
15,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
16,nodeenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
17,Fabric,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,*,*@*,*
18,protobuf,==4.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/platform_requirements.txt,*,*@*,*
19,grpcio,==1.56.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/platform_requirements.txt,*,*@*,*
20,pyopenssl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
21,oauth2client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
22,google-api-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
23,Flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
24,google-cloud-ndb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
25,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
26,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
27,firebase-admin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
28,google-auth-oauthlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
29,werkzeug,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
30,google-cloud-datastore,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
31,google-cloud-storage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
32,google-cloud-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
33,sendgrid,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
34,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
35,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
36,python-dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
37,jira,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
38,PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
39,redis,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
40,pyOpenSSL,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/src/Pipfile,*,*@*,*
