,dep,version,filepath,bloated,cve,affected versions,advisory
0,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,no one,no one,no one
1,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2019-18874,<=5.6.5,psutil (aka python-psutil) through 5.6.5 can have a double free. This occurs because of refcount mishandling within a while or for loop that converts system data into a Python object. See CVE-2019-18874.
2,WebTest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,no one,no one,no one
3,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2018-18074,<2.0.0,Twine 2.0.0 updates requests to 2.20 (or later) to include a security fix.
4,pyfakefs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,no one,no one,no one
5,selenium,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,no one,no one,no one
6,paramiko,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2018-7750,"<1.17.6,>=2.0.0,<2.0.8,>=2.1.0,<2.1.5,>=2.2.0,<2.2.3,>=2.3.0,<2.3.2,==2.4.0,>=1.18.0,<1.18.5","transport.py in the SSH server implementation of Paramiko before 1.17.6, 1.18.x before 1.18.5, 2.0.x before 2.0.8, 2.1.x before 2.1.5, 2.2.x before 2.2.3, 2.3.x before 2.3.2, and 2.4.x before 2.4.1 does not properly check whether authentication is completed before processing other requests, as demonstrated by channel-open. A customized SSH client can simply skip the authentication step."
7,paramiko,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2008-0299,<1.7.2,"Paramiko 1.7.2 includes a fix for CVE-2008-0299: common.py in Paramiko 1.7.1 and earlier, when using threads or forked processes, does not properly use RandomPool, which allows one session to obtain sensitive information from another session by predicting the state of the pool."
8,paramiko,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-24302,">=0,<2.9.3,>=2.10.0,<2.10.1","In Paramiko before 2.10.1, a race condition (between creation and chmod) in the write_private_key_file function could allow unauthorized information disclosure."
9,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,PVE-2021-25678,<0.9.1,"Cryptography 0.9.1 fixes a double free in the OpenSSL backend when using DSA  to verify signatures.
https://github.com/pyca/cryptography/pull/2013"
10,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,PVE-2021-25679,<1.0.2,"Cryptography 1.0.2 fixes a vulnerability. The OpenSSL backend prior to 1.0.2 made extensive use  of assertions to check response codes where our tests could not trigger a  failure.  However, when Python is run with '-O' these asserts are optimized  away.  If a user ran Python with this flag and got an invalid response code, this could lead to undefined behavior or worse."
11,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2016-9243,<1.5.3,"Cryptography 1.5.3 includes a fix for CVE-2016-9243: HKDF in cryptography before 1.5.2 returns an empty byte-string if used with a length less than algorithm.digest_size.
https://github.com/pyca/cryptography/commit/b924696b2e8731f39696584d12cceeb3aeb2d874"
12,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2017-3736,<2.1.3,"Cryptography 2.1.3 updates Windows, macOS, and manylinux1 wheels to be compiled with OpenSSL 1.1.0g, that includes security fixes."
13,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2017-3735,<2.1.3,"Cryptography 2.1.3 updates Windows, macOS, and manylinux1 wheels to be compiled with OpenSSL 1.1.0g, that includes security fixes."
14,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,PVE-2021-39252,<3.3,"Cryptography 3.3 no longer allows loading of finite field Diffie-Hellman parameters of less than 512 bits in length. This change is to conform with an upcoming OpenSSL release that no longer supports smaller sizes. These keys were already wildly insecure and should not have been used in any application outside of testing.
https://github.com/pyca/cryptography/pull/5592"
15,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2020-36242,<3.3.2,"Cryptography 3.3.2 includes a fix for CVE-2020-36242: certain sequences of update calls to symmetrically encrypt multi-GB values could result in an integer overflow and buffer overflow, as demonstrated by the Fernet class."
16,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-0215,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
17,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-0401,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
18,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-0217,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
19,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-3996,<39.0.1,"Cryptography 39.0.1 includes a fix for CVE-2022-3996, a DoS vulnerability affecting openssl.
https://github.com/pyca/cryptography/issues/7940"
20,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-0216,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
21,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-4203,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
22,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-4304,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
23,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-0286,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
24,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-4450,<39.0.1,"Cryptography 39.0.1 updates its dependency 'OpenSSL' to v3.0.8 to include security fixes.
https://github.com/pyca/cryptography/issues/8229"
25,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-2650,<41.0.0,"Cryptography 41.0.0 updates its dependency 'OpenSSL' to v3.1.1 to include a security fix.
https://github.com/pyca/cryptography/commit/8708245ccdeaff21d65eea68a4f8d2a7c5949a22"
26,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2020-25659,<=3.2,"Cryptography 3.2 and prior are vulnerable to Bleichenbacher timing attacks in the RSA decryption API, via timed processing of valid PKCS#1 v1.5 ciphertext."
27,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2023-23931,">=1.8,<39.0.1","Cryptography 39.0.1 includes a fix for CVE-2023-23931: In affected versions 'Cipher.update_into' would accept Python objects which implement the buffer protocol, but provide only immutable buffers. This would allow immutable objects (such as 'bytes') to be mutated, thus violating fundamental rules of Python and resulting in corrupted output. This issue has been present since 'update_into' was originally introduced in cryptography 1.8.
https://github.com/pyca/cryptography/security/advisories/GHSA-w7pp-m8wf-vj6r"
28,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2018-10903,">=1.9.0,<2.3",A flaw was found in python-cryptography versions between >=1.9.0 and <2.3. The finalize_with_tag API did not enforce a minimum tag length. If a user did not validate the input length prior to passing it to finalize_with_tag an attacker could craft an invalid payload with a shortened tag (e.g. 1 byte) such that they would have a 1 in 256 chance of passing the MAC check. GCM tag forgeries can cause key leakage. See: CVE-2018-10903.
29,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-3786,">=37.0.0,<38.0.3","Cryptography versions from 37.0.0 and before 38.0.2 include a statically linked copy of OpenSSL that has known vulnerabilities.
https://github.com/pyca/cryptography/security/advisories/GHSA-39hc-v87j-747x"
30,cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-3602,">=37.0.0,<38.0.3","Cryptography versions from 37.0.0 and before 38.0.2 include a statically linked copy of OpenSSL that has known vulnerabilities.
https://github.com/pyca/cryptography/security/advisories/GHSA-39hc-v87j-747x"
31,crcmod,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,no one,no one,no one
32,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2019-11324,<2020.5.28,Pipenv 2020.5.28 updates its dependency 'urllib3' to v1.25.9 to include security fixes.
33,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2017-18342,<2020.5.28,Pipenv 2020.5.28 updates its dependency 'pyyaml' minimum requirement to v5.3.1 to include security fixes.
34,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2020-26137,<2020.5.28,Pipenv 2020.5.28 updates its dependency 'urllib3' to v1.25.9 to include security fixes.
35,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2020-1747,<2020.5.28,Pipenv 2020.5.28 updates its dependency 'pyyaml' minimum requirement to v5.3.1 to include security fixes.
36,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2019-11236,<2020.5.28,Pipenv 2020.5.28 updates its dependency 'urllib3' to v1.25.9 to include security fixes.
37,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2019-10906,<2020.5.28,Pipenv 2020.5.28 updates its dependency 'jinja2' to v2.11.2 to include a security fix.
38,pipenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/clusterfuzz/Pipfile,False,CVE-2022-21668,">=2018.10.9,<=2021.11.23","Pipenv 2022.1.8 includes a fix for CVE-2022-21668: Starting with version 2018.10.9 and prior to version 2022.1.8, a flaw in pipenv's parsing of requirements files allows an attacker to insert a specially crafted string inside a comment anywhere within a requirements.txt file, which will cause victims who use pipenv to install the requirements file to download dependencies from a package index server controlled by the attacker. By embedding malicious code in packages served from their malicious index server, the attacker can trigger arbitrary remote code execution (RCE) on the victims' systems. If an attacker is able to hide a malicious '--index-url' option in a requirements file that a victim installs with pipenv, the attacker can embed arbitrary malicious code in packages served from their malicious index server that will be executed on the victim's host during installation (remote code execution/RCE). When pip installs from a source distribution, any code in the setup.py is executed by the install process.
https://github.com/pypa/pipenv/security/advisories/GHSA-qc9x-gjcv-465w"
