,dep,version,filepath,type,condition,status
0,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
1,importlib-metadata,<5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
2,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
3,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
4,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
5,numpy,>=1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
6,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
7,gensim,>=4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
8,grave,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
9,scikit_learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
10,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
11,optuna,==2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
12,ogb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
13,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
14,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
15,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
16,ninja,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
17,transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
18,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/setup.py,install_requires,@*,*
19,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/examples/graphmae/requirements.txt,*,*@*,*
20,tensorboardX,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/examples/graphmae/requirements.txt,*,*@*,*
21,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/examples/graphmae/requirements.txt,*,*@*,*
22,ogb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/examples/graphmae/requirements.txt,*,*@*,*
23,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/examples/graphmae/requirements.txt,*,*@*,*
24,sphinx,==4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
25,recommonmark,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
26,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
27,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
28,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
29,geopy,==2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
30,ogb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
31,sphinx-markdown-tables,==0.0.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
32,sphinx_rtd_theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
33,markdown,==3.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
34,sphinx-gallery,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
35,black,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cogdl/docs/requirements.txt,*,*@*,*
