,dep,version,filepath,type,condition,status
0,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,install_requires,@*,*
1,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,install_requires,@*,*
2,tqdm,>=4.19,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,install_requires,@*,*
3,powerlaw,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,install_requires,@*,*
4,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,extras_require,@*,*
5,pytest-pep8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,extras_require,@*,*
6,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,extras_require,@*,*
7,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/setup.py,extras_require,@*,*
8,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/cvae/requirements.txt,*,*@*,*
9,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/bivaecf/requirements.txt,*,*@*,*
10,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/ncf/requirements.txt,*,*@*,*
11,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/cdl/requirements.txt,*,*@*,*
12,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/vmf/requirements.txt,*,*@*,*
13,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/wmf/requirements.txt,*,*@*,*
14,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/amr/requirements.txt,*,*@*,*
15,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/cdr/requirements.txt,*,*@*,*
16,tensorflow,==1.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/pcrl/requirements.txt,*,*@*,*
17,scipy,==1.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/pcrl/requirements.txt,*,*@*,*
18,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/cvaecf/requirements.txt,*,*@*,*
19,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/vbpr/requirements.txt,*,*@*,*
20,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/coe/requirements.txt,*,*@*,*
21,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/online_ibpr/requirements.txt,*,*@*,*
22,tensorflow,==2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/narre/requirements.txt,*,*@*,*
23,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/causalrec/requirements.txt,*,*@*,*
24,tensorflow,==2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/hrdr/requirements.txt,*,*@*,*
25,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/ibpr/requirements.txt,*,*@*,*
26,tensorflow,==2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/conv_mf/requirements.txt,*,*@*,*
27,torch,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/cornac/models/vaecf/requirements.txt,*,*@*,*
28,Cython,>=0.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/cornac/docs/requirement.txt,*,*@*,*
