,dep,version,filepath,type,condition,status
0,yq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,*,*@*,*
1,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,*,*@*,*
2,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,*,*@*,*
3,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,*,*@*,*
4,click,==8.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,*,*@*,*
5,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,*,*@*,*
6,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,*,*@*,*
7,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,*,*@*,*
8,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/hello-world/app/requirements.txt,*,*@*,*
9,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/hello-world/app/requirements.txt,*,*@*,*
10,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/prime-generator/app/requirements.txt,*,*@*,*
11,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/prime-generator/app/requirements.txt,*,*@*,*
12,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-cpu.txt,*,*@*,*
13,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-cpu.txt,*,*@*,*
14,transformers,==3.0.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-cpu.txt,*,*@*,*
15,torch,==1.7.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-cpu.txt,*,*@*,*
16,sentencepiece,==0.1.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-gpu.txt,*,*@*,*
17,transformers,==3.0.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-gpu.txt,*,*@*,*
18,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-gpu.txt,*,*@*,*
19,uvicorn,==0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-gpu.txt,*,*@*,*
20,torch,==1.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/text-generator/app/requirements-gpu.txt,*,*@*,*
21,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/sleep/app/requirements.txt,*,*@*,*
22,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/sleep/app/requirements.txt,*,*@*,*
23,numpy,==1.18.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/task/iris-classifier-trainer/app/requirements.txt,*,*@*,*
24,scikit-learn,==0.21.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/task/iris-classifier-trainer/app/requirements.txt,*,*@*,*
25,boto3,==1.17.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/task/iris-classifier-trainer/app/requirements.txt,*,*@*,*
26,torchvision,==0.8.2+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-cpu.txt,*,*@*,*
27,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-cpu.txt,*,*@*,*
28,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-cpu.txt,*,*@*,*
29,torch,==1.7.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-cpu.txt,*,*@*,*
30,boto3,==1.17.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-cpu.txt,*,*@*,*
31,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-cpu.txt,*,*@*,*
32,sentencepiece,==0.1.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
33,torchvision,==0.8.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
34,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
35,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
36,uvicorn,==0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
37,torch,==1.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
38,boto3,==1.17.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/image-classifier-alexnet/app/requirements-gpu.txt,*,*@*,*
39,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/sum/app/requirements.txt,*,*@*,*
40,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/sum/app/requirements.txt,*,*@*,*
41,boto3,==1.17.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/batch/sum/app/requirements.txt,*,*@*,*
42,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/hello-world/app/requirements.txt,*,*@*,*
43,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/hello-world/app/requirements.txt,*,*@*,*
44,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-cpu.txt,*,*@*,*
45,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-cpu.txt,*,*@*,*
46,transformers,==3.0.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-cpu.txt,*,*@*,*
47,torch,==1.7.1+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-cpu.txt,*,*@*,*
48,sentencepiece,==0.1.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-gpu.txt,*,*@*,*
49,transformers,==3.0.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-gpu.txt,*,*@*,*
50,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-gpu.txt,*,*@*,*
51,uvicorn,==0.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-gpu.txt,*,*@*,*
52,torch,==1.10.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/async/text-generator/app/requirements-gpu.txt,*,*@*,*
53,requests,==2.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
54,jsonschema,==3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
55,pytest,==6.1.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
56,pytest-print,==0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
57,python-dotenv,==0.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
58,pyyaml,>=5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
59,boto3,>=1.14.53,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
60,cortex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/e2e/setup.py,install_requires,@*,*
61,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/python/client/setup.py,setup_requires,@*,*
62,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/python/client/setup.py,setup_requires,@*,*
63,wheel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/python/client/setup.py,setup_requires,@*,*
64,importlib-resources,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/python/client/setup.py,install_requires,@ python_version < '3.7',*
65,pyyaml,>=5.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/python/client/setup.py,install_requires,@*,*
66,sentry-sdk,>=1.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/python/client/setup.py,install_requires,@*,*
