,dep,version,filepath,bloated,cve,affected versions,advisory
0,yq,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,PVE-2021-42987,<2.13.0,"Yq 2.13.0  armors against entity expansion attacks.
https://github.com/kislyuk/yq/commit/a5d2c572ee69009380a54a67662cf781f3036450"
1,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2017-18342,<4,Pyyaml before 4 uses ``yaml.load`` which has been assigned CVE-2017-18342.
2,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2020-1747,<5.3.1,"Pyyaml 5.3.1 includes a fix for CVE-2020-1747: A vulnerability was discovered in the PyYAML library in versions before 5.3.1, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. An attacker could use this flaw to execute arbitrary code on the system by abusing the python/object/new constructor."
3,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2020-14343,<5.4,"Pyyaml version 5.4 includes a fix for CVE-2020-14343: A vulnerability was discovered in the PyYAML library in versions before 5.4, where it is susceptible to arbitrary code execution when it processes untrusted YAML files through the full_load method or with the FullLoader loader. Applications that use the library to process untrusted input may be vulnerable to this flaw. This flaw allows an attacker to execute arbitrary code on the system by abusing the python/object/new constructor. This flaw is due to an incomplete fix for CVE-2020-1747.
https://bugzilla.redhat.com/show_bug.cgi?id=1860466"
4,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2019-20477,">=5.1,<=5.1.2","PyYAML 5.1 through 5.1.2 has insufficient restrictions on the load and load_all functions because of a class deserialization issue, e.g., Popen is a class in the subprocess module. See CVE-2019-20477. NOTE: this issue exists because of an incomplete fix for CVE-2017-18342."
5,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,PVE-2021-41708,<1.4.5,"Boto3 version 1.4.5 fixes an information exposure vulnerability: The boto logger boto3.resources.action, which propagates to root logger, logs the entire uploaded bytes at INFO level.
https://github.com/boto/boto3/issues/1017"
6,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2020-28493,<2.11.3,"This affects the package jinja2 from 0.0.0 and before 2.11.3. The ReDoS vulnerability is mainly due to the '_punctuation_re regex' operator and its use of multiple wildcards. The last wildcard is the most exploitable as it searches for trailing punctuation. This issue can be mitigated by Markdown to format user content instead of the urlize filter, or by implementing request timeouts and limiting process memory."
7,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2014-1402,<2.7.2,"Jinja2 2.7.2 includes a fix for CVE-2014-1402: The default configuration for bccache.FileSystemBytecodeCache in Jinja2 before 2.7.2 does not properly create temporary files, which allows local users to gain privileges via a crafted .cache file with a name starting with __jinja2_ in /tmp."
8,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2016-10745,<2.8.1,Jinja2 2.8.1 sandboxes format expressions with the same rules as in Jinja if the sandbox mode is used. This solves various information leakage problems that could occur with format strings.
9,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2019-10906,">=0,<2.10.1","In Pallets Jinja before 2.10.1, str.format_map allows a sandbox escape."
10,jinja2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,CVE-2014-0012,">=0,<2.7.3","FileSystemBytecodeCache in Jinja2 2.7.2 does not properly create temporary directories, which allows local users to gain privileges by pre-creating a temporary directory with a user's uid.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-1402."
11,click,==8.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/manager/requirements.txt,False,no one,no one,no one
12,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,False,CVE-2020-7695,<0.11.7,"Uvicorn before 0.11.7 is vulnerable to HTTP response splitting. CRLF sequences are not escaped in the value of HTTP headers. Attackers can exploit this to add arbitrary headers to HTTP responses, or even return an arbitrary response body, whenever crafted input is used to construct HTTP headers."
13,uvicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,False,CVE-2020-7694,<0.11.7,"The request logger provided by Uvicorn prior to version 0.11.7 is vulnerable to ASNI escape sequence injection. Whenever any HTTP request is received, the default behaviour of uvicorn is to log its details to either the console or a log file. When attackers request crafted URLs with percent-encoded escape sequences, the logging component will log the URL after it's been processed with urllib.parse.unquote, therefore converting any percent-encoded characters into their single-character equivalent, which can have special meaning in terminal emulators. By requesting URLs with crafted paths, attackers can: * Pollute uvicorn's access logs, therefore jeopardising the integrity of such files. * Use ANSI sequence codes to attempt to interact with the terminal emulator that's displaying the logs (either in real time or from a file). See: CVE-2020-7694."
14,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,False,CVE-2019-11324,<0.18.0,Fastapi 0.18.0 updates its dependency 'urllib3' to v1.24.2 to include a security fix.
15,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,False,PVE-2021-37231,<0.30.0,"Fastapi 0.30.0 avoids/fixes a potential security issue: as the returned object is passed directly to Pydantic, if the returned object was a subclass of the `response_model` (e.g. you return a `UserInDB` that inherits from `User` but contains extra fields, like `hashed_password`, and `User` is used in the `response_model`), it would still pass the validation (because `UserInDB` is a subclass of `User`) and the object would be returned as-is, including the `hashed_password`. To fix this, the declared `response_model` is cloned, if it is a Pydantic model class (or contains Pydantic model classes in it, e.g. in a `List[Item]`), the Pydantic model class(es) will be a different one (the ""cloned"" one). So, an object that is a subclass won't simply pass the validation and returned as-is, because it is no longer a sub-class of the cloned `response_model`. Instead, a new Pydantic model object will be created with the contents of the returned object. So, it will be a new object (made with the data from the returned one), and will be filtered by the cloned `response_model`, containing only the declared fields as normally."
16,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,False,PVE-2021-37428,<0.37.0,Fastapi 0.37.0 fixes a security issue: when returning a sub-class of a response model and using `skip_defaults` it could leak information. See: https://github.com/tiangolo/fastapi/pull/485
17,fastapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/cortex/test/apis/realtime/multi-container/app/requirements.txt,False,CVE-2021-29510,<0.65.1,"Fastapi 0.65.1 upgrades pydantic pin, to handle CVE-2021-29510."
