,dep,version,filepath,type,condition,status
0,black,>=22.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
1,graphviz,>=0.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
2,gym,>=0.26.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
3,matplotlib,>=3.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
4,mypy,>=0.980,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
5,pre-commit,>=2.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
6,pytest,>=4.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
7,ruff,>=0.0.213,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
8,scikit-learn,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
9,sqlalchemy,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
10,sympy,>=1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
11,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
13,vaex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
14,dominate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
15,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
16,ipykernel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
17,jupyter-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
18,mike,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
19,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
20,mkdocs-awesome-pages-plugin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
21,mkdocs-charts-plugin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
22,mkdocs-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
23,nbconvert,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
24,numpydoc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
25,python-slugify,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
26,spacy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
27,tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
28,watermark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
29,river_extra,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,@*,*
30,deep-river,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,@*,*
31,river_torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,@*,*
32,scikit-learn,==1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
33,scipy,==1.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
34,torch,==1.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
35,vowpalwabbit,==9.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
37,dominate,==2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
38,slugify,==0.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
39,watermark,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
40,river-torch,==0.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,*@*,*
41,dataclasses,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/creme/setup.py,extras_require,@*,*
