,dep,version,filepath,type,condition,status
0,future,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
1,yapf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
2,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
3,opencv-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
4,tb-nightly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
5,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
6,yacs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
7,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
8,gdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
9,chardet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
10,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
11,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
12,imageio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
13,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
14,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
15,isort,==4.3.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
16,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/requirements.txt,*,*@*,*
17,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/docs/requirements.txt,*,*@*,*
18,sphinx,==2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/docs/requirements.txt,*,*@*,*
19,sphinxcontrib-napoleon,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/docs/requirements.txt,*,*@*,*
20,recommonmark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/docs/requirements.txt,*,*@*,*
21,sphinxcontrib-websupport,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/docs/requirements.txt,*,*@*,*
22,sphinx-markdown-tables,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deep-person-reid/docs/requirements.txt,*,*@*,*
