,dep,version,filepath,type,condition,status
0,numpy,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
1,opencv-python,>=4.5.5.64,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
2,Flask,>=1.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
3,fire,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
4,Deprecated,>=1.2.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
5,tqdm,>=4.30.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
6,Pillow,>=5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
7,gdown,>=3.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
8,retina-face,>=0.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
9,pandas,>=0.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
10,mtcnn,>=0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
11,gunicorn,>=20.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
12,keras,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
13,tensorflow,>=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements.txt,*,*@*,*
14,ultralytics,>=8.0.122,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements_additional.txt,*,*@*,*
15,opencv-contrib-python,>=4.3.0.36,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements_additional.txt,*,*@*,*
16,dlib,>=19.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements_additional.txt,*,*@*,*
17,mediapipe,>=0.8.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepface/requirements_additional.txt,*,*@*,*
