,dep,version,filepath,type,condition,status
0,optuna,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
1,librosa,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
2,torchaudio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
3,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
4,hydra-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
5,pytorch-lightning,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
6,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
7,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
8,sox,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
9,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
10,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
11,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
12,python-levenshtein,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
13,torchelastic,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
14,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
15,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
16,wget,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepspeech.pytorch/requirements.txt,*,*@*,*
