,dep,version,filepath,type,condition,status
0,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/requirements.txt,*,*@*,*
1,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/requirements.txt,*,*@*,*
2,scikit-optimize,>=0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/requirements.txt,*,*@*,*
3,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/requirements.txt,*,*@*,*
4,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/requirements.txt,*,*@*,*
5,jupyterlab,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
6,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
7,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
8,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
9,notebook,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
10,mpi4py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
11,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
12,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
13,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
14,deepxde,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
15,scikit-optimize,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
16,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
17,tensorflow-probability,==0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docker/requirements.txt,*,*@*,*
18,paddlepaddle,==2.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
19,sphinx-copybutton,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
20,flax,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
21,optax,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
22,tensorflow,>=2.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
23,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
24,tensorflow-probability,>=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
25,jax,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
26,torch,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
27,docutils,<0.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
28,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
29,scikit-optimize,>=0.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
30,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
31,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
32,protobuf,==3.20.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/deepxde/docs/requirements.txt,*,*@*,*
