,dep,version,filepath,type,condition,status
0,types-pytz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
1,types-pyOpenSSL,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
2,types-python-dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
3,types-PyYAML,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
4,types-six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
5,flake8-builtins,>=1.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
6,types-cryptography,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
7,flake8-docstrings,>=1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
8,flake8-quotes,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
9,click,<=8.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
10,black,==23.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
11,flake8-bugbear,>=19.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
12,types-certifi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
13,types-enum34,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
14,flake8-commas,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
15,types-ipaddress,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
16,isort,==5.11.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
17,harness,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
18,pre-commit,~=2.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
19,flake8-tuple,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
20,types-toml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
21,flake8,==3.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
22,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
23,build,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
24,types-protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
25,pyzmq,>=23.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
26,bump2version,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
27,model_hub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
28,jax,==0.3.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
29,types-requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
30,types-tabulate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
31,types-chardet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
32,flake8-colors,>=0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
33,mypy,==0.910,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
34,flake8-comprehensions,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
35,types-futures,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
36,devcluster,">=1,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
37,types-filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
38,types-setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
39,types-termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/requirements.txt,*,*@*,*
40,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
41,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
42,numpy,>=1.16.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
43,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
44,pyzmq,>=18.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
45,yogadl,==0.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
46,certifi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
47,filelock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
48,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
49,google-cloud-storage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
50,lomond,>=0.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
51,pathspec,>=0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
52,azure-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
53,azure-storage-blob,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
54,termcolor,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
55,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
56,oschmod,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@platform_system=='Windows',*
57,argcomplete,>=1.9.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
58,gitpython,>=3.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
59,pyOpenSSL,>= 19.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
60,python-dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
61,pytz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
62,tabulate,>=0.8.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
63,ruamel.yaml,>=0.15.29,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
64,docker,>=3.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
65,google-api-python-client,>=1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
66,paramiko,>=2.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
67,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
68,appdirs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
69,analytics-python,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/setup.py,install_requires,@*,*
70,pytest,>=6.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-cli.txt,*,*@*,*
71,requests_mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-cli.txt,*,*@*,*
72,mypy,==0.910,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-cli.txt,*,*@*,*
73,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
74,pytest,>=6.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
75,pytorch_lightning,==1.5.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
76,mypy,==0.910,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
77,deepspeed,==0.8.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
78,attrdict3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
79,pydantic,<2,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
80,transformers,">=4.8.2,<4.29.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
81,responses,<=0.23.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
82,moto,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
83,requests_mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/harness/tests/requirements/requirements-harness.txt,*,*@*,*
84,torch,==1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
85,pytest,>=6.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
86,torchvision,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
87,tensorflow-macos,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@ sys_platform == 'darwin' and platform_machine == 'arm64',*
88,tensorflow_datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
89,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
90,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
91,tensorflow,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@ sys_platform != 'darwin' or platform_machine != 'arm64',*
92,pillow,<10.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/tests/requirements.txt,*,*@*,*
93,torch,>=1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
94,setuptools,==59.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
95,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
96,rouge_score,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
97,accelerate,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
98,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
99,transformers,">=4.28.1,<4.29.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
100,fire,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
101,sentencepiece,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
102,datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
103,tokenizers,>=0.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
104,evaluate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_language_modeling/requirements.txt,*,*@*,*
105,torch,>=1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
106,setuptools,==59.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
107,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
108,torchvision,>=0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
109,accelerate,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
110,transformers,">=4.28.1,<4.29.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
111,datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
112,evaluate,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/hf_trainer_api/hf_image_classification/requirements.txt,*,*@*,*
113,tokenizers,>=0.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/features/torch_batch_process_embeddings/requirements.txt,*,*@*,*
114,accelerate,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/features/torch_batch_process_embeddings/requirements.txt,*,*@*,*
115,transformers,">=4.28.1,<4.29.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/features/torch_batch_process_embeddings/requirements.txt,*,*@*,*
116,datasets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/features/torch_batch_process_embeddings/requirements.txt,*,*@*,*
117,chromadb,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/examples/features/torch_batch_process_embeddings/requirements.txt,*,*@*,*
118,typing-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/bindings/requirements.txt,*,*@*,*
119,sphinx-sitemap,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
120,watchdog,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
121,sphinx-copybutton,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
122,boto3,>=1.24.4<2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
123,myst_parser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
124,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
125,docutils,==0.15.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
126,sphinx-reredirects,>=0.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
127,sphinx,==4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
128,sphinx-book-theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
129,rstfmt,==0.0.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
130,algoliasearch,">=2.0,<3.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/docs/requirements.txt,*,*@*,*
131,torch,==1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
132,kubernetes,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
133,pytest,>=6.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
134,torchvision,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
135,python-dateutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
136,tensorflow-macos,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@ sys_platform == 'darwin' and platform_machine == 'arm64',*
137,docker,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
138,pexpect,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
139,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
140,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
141,h5py,>=3,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
142,pytest-timeout,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
143,tensorflow,==2.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@ sys_platform != 'darwin' or platform_machine != 'arm64',*
144,numpy,>=1.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
145,ray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
146,pydantic,<2,/home/daniele/git/NICHE_projects/Repo/Cloneables/determined/e2e_tests/tests/requirements.txt,*,*@*,*
