,dep,version,filepath,type,condition,status
0,typer,>=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
1,isort,>=5.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
2,autopep8,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
3,numpydoc,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
4,pydantic,>=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
5,ruamel.yaml,>=0.17.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
6,PyYAML,>=5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
7,ogb,>=1.3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
8,rdkit-pypi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
9,scikit-learn,>=0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/dglgo/setup.py,install_requires,@*,*
10,numpy,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/python/setup.py,install_requires,@*,*
11,scipy,>=1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/python/setup.py,install_requires,@*,*
12,networkx,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/python/setup.py,install_requires,@*,*
13,requests,>=2.19.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/python/setup.py,install_requires,@*,*
14,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/python/setup.py,install_requires,@*,*
15,psutil,>=5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/python/setup.py,install_requires,@*,*
16,rdflib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
17,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
18,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
19,pygraphviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
20,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
21,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
22,graphviz,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
23,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
24,networkx,>=2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/tutorials/requirements.txt,*,*@*,*
25,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/examples/pytorch/GATNE-T/requirements.txt,*,*@*,*
26,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/examples/pytorch/GATNE-T/requirements.txt,*,*@*,*
27,gensim,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/examples/pytorch/GATNE-T/requirements.txt,*,*@*,*
28,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/examples/pytorch/GATNE-T/requirements.txt,*,*@*,*
29,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/examples/pytorch/GATNE-T/requirements.txt,*,*@*,*
30,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dgl/examples/pytorch/GATNE-T/requirements.txt,*,*@*,*
