,dep,version,filepath,type,condition,status
0,pytest,~=4.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
1,torchvision,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
2,torch,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
3,qgrid,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
4,pillow,<7,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
5,torchnet,==0.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
6,matplotlib,~=3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
7,scikit-learn,==0.21.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
8,gitpython,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
9,jupyter,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
10,pretrainedmodels,==0.7.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
11,tensorboardx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
12,ipywidgets,==7.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
13,bqplot,==0.11.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
14,xlsxwriter,>=1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
15,scipy,>=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
16,tabulate,==0.8.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
17,tqdm,==4.33.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
18,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
19,gym,==0.12.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
20,pandas,>=0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
21,pydot,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
22,numpy,>=1.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
23,graphviz,==0.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/requirements.txt,*,*@*,*
24,markdown,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/docs-src/doc-requirements.txt,*,*@*,*
25,mkdocs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/docs-src/doc-requirements.txt,*,*@*,*
26,pymdown-extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/docs-src/doc-requirements.txt,*,*@*,*
27,python-markdown-math,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/docs-src/doc-requirements.txt,*,*@*,*
28,sacrebleu,==1.2.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/examples/GNMT/requirements.txt,*,*@*,*
29,pycocotools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/examples/object_detection_compression/requirements.txt,*,*@*,*
30,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/distiller/examples/object_detection_compression/requirements.txt,*,*@*,*
