,dep,version,filepath,type,condition,status
0,tensorflow,>=2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
1,optax,>=0.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
2,virtualenv,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
3,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
4,cloudpickle,>=1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
5,pytest-xdist,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
6,mock,>=3.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
7,chex,>=0.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
8,dm-tree,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-test.txt,*,*@*,*
9,numpy,>=1.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements.txt,*,*@*,*
10,jmp,>=0.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements.txt,*,*@*,*
11,tabulate,>=0.8.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements.txt,*,*@*,*
12,absl-py,>=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements.txt,*,*@*,*
13,jax,>=0.4.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-jax.txt,*,*@*,*
14,jaxlib,>=0.4.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/requirements-jax.txt,*,*@*,*
15,numpy,>=1.18.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
16,jmp,>=0.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
17,tabulate,>=0.8.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
18,absl-py,>=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
19,optax,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@special#B.9 ,*
20,bsuite,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@special#B.9 ,*
21,packaging,>=20.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
22,tensorflow-datasets,>=4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
23,dm-env,>=1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
24,tensorflow,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
25,rlax,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@special#B.9 ,*
26,dm-tree,>=0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
27,pandas,==1.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
28,flatbuffers,==2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
29,jupyter-client,==7.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
30,docutils,==0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
31,jmp,==0.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
32,ipykernel,==5.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
33,ipython,==7.16.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
34,defusedxml,==0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/dm-haiku/setup.py,install_requires,@*,*
