,dep,version,filepath,type,condition,status
0,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
1,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
2,docopt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
3,tornado,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
4,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
5,h5py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
6,PrettyTable,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
7,paho-mqtt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
8,simple_pid,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
9,progress,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
10,typing_extensions,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
11,pyfiglet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
12,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
13,pynmea2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
14,pyserial,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
15,utm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
16,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
17,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,install_requires,@*,*
18,picamera2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,extras_require,@*,*
19,Adafruit_PCA9685,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,extras_require,@*,*
20,adafruit-circuitpython-ssd1306,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/donkeycar/setup.py,extras_require,@*,*
