,dep,version,filepath,type,condition,status
0,tensorflow,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
1,catboost,==0.22,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
2,pyarrow,==0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
3,xgboost,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
4,psutil,==5.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
5,scipy,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
6,xlrd,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
7,lxml,==4.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
8,tables,==3.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
9,aiohttp-swagger,==1.0.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
10,responses,==0.10.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
11,aiohttp,==3.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
12,psycopg2-binary,==2.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
13,testcontainers,==2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
14,boto3,==1.12.39,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
15,numpy,==1.18.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
16,flasgger,==0.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
17,scikit-learn,==0.22.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
18,openpyxl,==3.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
19,pandas,==1.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
20,pyyaml,==5.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
21,pytest,==5.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
22,sqlalchemy,==1.3.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
23,torch,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,"*@ sys_platform == ""darwin""",*
24,imageio,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
25,torch,==1.4.0+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,"*@ sys_platform != ""darwin""",*
26,lightgbm,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/test.requirements.txt,*,*@*,*
27,requests,==2.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/requirements.txt,*,*@*,*
28,pyjackson,==0.0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/requirements.txt,*,*@*,*
29,dill,==0.3.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/requirements.txt,*,*@*,*
30,everett,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ebonite/requirements.txt,*,*@*,*
