,dep,version,filepath,bloated,cve,affected versions,advisory
0,certifi,==2017.7.27.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2022-23491,<2022.12.07,"Certifi 2022.12.07 includes a fix for CVE-2022-23491: Certifi 2022.12.07 removes root certificates from ""TrustCor"" from the root store. These are in the process of being removed from Mozilla's trust store. TrustCor's root certificates are being removed pursuant to an investigation prompted by media reporting that TrustCor's ownership also operated a business that produced spyware. Conclusions of Mozilla's investigation can be found in the linked google group discussion.
https://github.com/certifi/python-certifi/security/advisories/GHSA-43fp-rhv2-5gv8
https://groups.google.com/a/mozilla.org/g/dev-security-policy/c/oxX69KFvsm4/m/yLohoVqtCgAJ"
1,six,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
2,netaddr,==0.7.19,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
3,chardet,==3.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
4,ruamel.yaml,==0.15.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
5,keyring,==10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
6,millify,==0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
7,lxml,==4.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
8,docopt,==0.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
9,tabulate,==0.8.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
10,torch,==1.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2022-45907,">=0,<1.13.1","Torch 1.13.1 includes a fix for CVE-2022-45907: In PyTorch before trunk/89695, torch.jit.annotations.parse_type_line can cause arbitrary code execution because eval is used unsafely.
https://github.com/pytorch/pytorch/issues/88868"
11,regex,==2017.9.23,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
12,tzlocal,==1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
13,flake8,==3.7.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
14,tld,==0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
15,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
16,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2022-45198,<9.2.0,Pillow before 9.2.0 performs Improper Handling of Highly Compressed GIF Data (Data Amplification).
17,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2021-28675,">=0,<8.2.0",An issue was discovered in Pillow before 8.2.0. PSDImagePlugin.PsdImageFile lacked a sanity check on the number of input layers relative to the size of the data block. This could lead to a DoS on Image.open prior to Image.load.
18,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2021-27923,">=4.3.0,<8.1.1","Pillow before 8.1.1 allows attackers to cause a denial of service (memory consumption) because the reported size of a contained image is not properly checked for an ICO container, and thus an attempted memory allocation can be very large."
19,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2021-23437,">=5.2.0,<8.3.2","Pillow from 5.2.0 and before 8.3.2 is vulnerable to Regular Expression Denial of Service (ReDoS) via the getrgb function.
https://github.com/python-pillow/Pillow/commit/9e08eb8f78fdfd2f476e1b20b7cf38683754866b
https://pillow.readthedocs.io/en/stable/releasenotes/8.3.2.html"
20,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2022-30595,">=9.1.0,<9.1.1",libImaging/TgaRleDecode.c in Pillow 9.1.0 has a heap buffer overflow in the processing of invalid TGA image files.
21,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,PVE-2023-55182,">=9.1.0,<9.3.0","Pillow 9.3.0 includes a security fix: Pillow will now decode the data in its natural CMYK mode, then convert it to RGB and rearrange the channels afterwards. Trying to load the data in an incorrect mode could result in a segmentation fault.
https://pillow.readthedocs.io/en/stable/releasenotes/9.3.0.html#decode-jpeg-compressed-blp1-data-in-original-mode"
22,Pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2022-45199,">=9.2.0,<9.3.0","Pillow before 9.3.0 allows denial of service via SAMPLESPERPIXEL.
https://pillow.readthedocs.io/en/stable/releasenotes/9.3.0.html#limit-samplesperpixel-to-avoid-runtime-dos"
23,dateparser,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
24,requests,==2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
25,requests,==2.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
26,validators,==0.12.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2019-19588,">=0.12.2,<=0.12.5",The validators package 0.12.2 through 0.12.5 for Python enters an infinite loop when validators.domain is called with a crafted domain string. This is fixed in 0.12.6. See: CVE-2019-19588.
27,keyrings.alt,==1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
28,pandas,==0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2020-13091,">=0,<1.0.4","** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
29,urllib3,==1.26.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2020-7212,">=1.25.2,<=1.25.7","The _encode_invalid_chars function in util/url.py in the urllib3 library 1.25.2 through 1.25.7 for Python allows a denial of service (CPU consumption) because of an inefficient algorithm. The percent_encodings array contains all matches of percent encodings. It is not deduplicated. For a URL of length N, the size of percent_encodings may be up to O(N). The next step (normalize existing percent-encoded bytes) also takes up to O(N) for each step, so the total time is O(N^2). If percent_encodings were deduplicated, the time to compute _encode_invalid_chars would be O(kN), where k is at most 484 ((10+6*2)^2). See: CVE-2020-7212."
30,urllib3,==1.26.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,CVE-2021-28363,">=1.26.0,<1.26.4","Urllib3 1.26.4 includes a fix for CVE-2021-28363: The urllib3 library 1.26.x before 1.26.4 for Python omits SSL certificate validation in some cases involving HTTPS to HTTPS proxies. The initial connection to the HTTPS proxy (if an SSLContext isn't given via proxy_config) doesn't verify the hostname of the certificate. This means certificates for different servers that still validate properly with the default urllib3 SSLContext will be silently accepted.
https://github.com/urllib3/urllib3/security/advisories/GHSA-5phf-pp7p-vc2r"
31,requests-file,==1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
32,elasticsearch,==7.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
33,pyasn1,==0.1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
34,python-dateutil,==2.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
35,SecretStorage,==2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
36,np,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
37,pytz,==2017.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ee-outliers/requirements.txt,False,no one,no one,no one
