,dep,version,filepath,type,condition,status
0,elasticai_api,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/setup.py,install_requires,@@*,*
1,elasticdl_client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/setup.py,install_requires,@@*,*
2,elasticdl_preprocessing,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/setup.py,install_requires,@@*,*
3,Jinja2,==2.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_client/requirements.txt,*,*@*,*
4,docker,==4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_client/requirements.txt,*,*@*,*
5,kubernetes,==12.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_client/requirements.txt,*,*@*,*
6,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
7,docker,==4.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
8,odps,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
9,pyrecordio,>=0.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
10,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
11,tensorflow,==2.5.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
12,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
13,kubernetes,==12.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements.txt,*,*@*,*
14,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
15,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
16,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
17,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
18,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
19,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
20,yamllint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
21,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl/requirements-dev.txt,*,*@*,*
22,grpcio,==1.34.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticai_api/requirements.txt,*,*@*,*
23,grpcio-tools,==1.34.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticai_api/requirements.txt,*,*@*,*
24,tensorflow,==2.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements.txt,*,*@*,*
25,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
26,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
27,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
28,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
29,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
30,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
31,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
32,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/elasticdl_preprocessing/requirements-dev.txt,*,*@*,*
33,Pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/model_zoo/requirements.txt,*,*@*,*
34,deepctr,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/model_zoo/requirements.txt,*,*@*,*
35,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/elasticdl/model_zoo/requirements.txt,*,*@*,*
