,dep,version,filepath,type,condition,status
0,cffi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
1,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
2,hydra-core,">=1.0.7,<1.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
3,omegaconf,<2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
4,numpy,>=1.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
5,kaldi_io,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
6,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
7,sacrebleu,>=1.4.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
8,torch,>=1.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
9,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
10,bitarray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
11,torchaudio,>=0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,install_requires,@*,*
12,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,extras_require,@*,*
13,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,extras_require,@*,*
14,black,==22.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,extras_require,@*,*
15,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,extras_require,@*,*
16,sphinx-argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/setup.py,extras_require,@*,*
17,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/examples/multilingual/data_scripts/requirement.txt,*,*@*,*
18,wget,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/espresso/examples/multilingual/data_scripts/requirement.txt,*,*@*,*
