,dep,version,filepath,type,condition,status
0,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/setup.py,install_requires,@*,*
1,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/setup.py,install_requires,@*,*
2,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/setup.py,install_requires,@*,*
3,pillow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/setup.py,install_requires,@*,*
4,tensorboard,>=1.14.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
5,opencv-python,>=4.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
6,coverage,==4.5.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
7,torchvision,==0.14.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
8,torch,==1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
9,scipy,==1.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
10,numpy,==1.23.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
11,jupyter,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
12,pandas,==1.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
13,requests,==2.25.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
14,codecov,==2.0.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
15,future,>=0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
16,Pillow,==9.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/facenet-pytorch/tests/actions_requirements.txt,*,*@*,*
