,dep,version,filepath,type,condition,status
0,tensorflow-cpu,">=2.10.0,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_directml.txt,*,*@*,*
1,comtypes,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_directml.txt,*,*@*,*
2,tensorflow-directml-plugin,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_directml.txt,*,*@*,*
3,tqdm,>=4.65,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
4,numpy,>=1.25.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
5,imageio,>=2.26.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
6,matplotlib,>=3.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
7,imageio-ffmpeg,>=0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
8,opencv-python,>=4.7.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
9,psutil,>=5.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
10,pywin32,>=228,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,"*@ sys_platform == ""win32""",*
11,fastcluster,>=1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
12,ffmpy,>=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
13,scikit-learn,>=1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
14,numexpr,>=2.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
15,pillow,">=9.4.0,<10.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/_requirements_base.txt,*,*@*,*
16,tensorflow-cpu,">=2.10.0,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_cpu.txt,*,*@*,*
17,tensorflow-metal,">=0.6.0,<0.7.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_apple_silicon.txt,*,*@*,*
18,decorator,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_apple_silicon.txt,*,*@*,*
19,cloudpickle,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_apple_silicon.txt,*,*@*,*
20,tensorflow-macos,">=2.10.0,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_apple_silicon.txt,*,*@*,*
21,tensorflow-rocm,">=2.10.0,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_rocm.txt,*,*@*,*
22,pynvx,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_nvidia.txt,*,"*@ sys_platform == ""darwin""",*
23,tensorflow,">=2.10.0,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_nvidia.txt,*,*@*,*
24,nvidia-ml-py,">=11.525,<300",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/requirements/requirements_nvidia.txt,*,*@*,*
25,numpy,>=1.25.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
26,sphinx_rtd_theme,==1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
27,imageio,==2.31.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
28,pytest-mock,==3.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
29,opencv-python,>=4.7.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
30,tensorflow,">=2.10.0,<2.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
31,psutil,==5.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
32,ffmpy,==0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
33,sphinx,">=6.0.0,<7.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
34,fastcluster,>=1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
35,matplotlib,==3.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
36,scikit-learn,>=1.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/faceswap/docs/sphinx_requirements.txt,*,*@*,*
