,dep,version,filepath,type,condition,status
0,google-cloud-logging,>=1.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
1,google-auth,>=1.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
2,grpcio,>=1.27.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
3,requests,">=2.21.0,<2.23",/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
4,nbconvert,>=5.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
5,future,>=0.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
6,httplib2,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
7,numpy,>=1.17.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
8,azure-storage-file,>=2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
9,kubernetes,==10.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
10,notebook,>=5.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
11,six,>=1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
12,ibm-cos-sdk,>=2.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
13,google-cloud-storage,>=1.13.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
14,boto3,>=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
15,setuptools,>=34.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
16,kfserving,>=0.3.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
17,docker,>=3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
18,python-dateutil,">=2.1,<=2.8.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
19,oauth2client,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairing/requirements.txt,*,*@*,*
