,dep,version,filepath,type,condition,status
0,cffi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
1,cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
2,hydra-core,">=1.0.7,<1.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
3,omegaconf,<2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
4,numpy,>=1.21.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
5,regex,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
6,sacrebleu,>=1.4.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
7,torch,>=1.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
8,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
9,bitarray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
10,torchaudio,>=0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
11,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
12,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,install_requires,@*,*
13,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,extras_require,@*,*
14,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,extras_require,@*,*
15,black,==22.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,extras_require,@*,*
16,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,extras_require,@*,*
17,sphinx-argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/setup.py,extras_require,@*,*
18,hydra-core,>=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/hydra_plugins/dependency_submitit_launcher/setup.py,install_requires,@*,*
19,submitit,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/hydra_plugins/dependency_submitit_launcher/setup.py,install_requires,@*,*
20,fairseq,==0.12.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
21,torch,==1.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
22,sacrebleu,==2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
23,tqdm,==4.64.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
24,torchaudio,==0.12.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
25,pandas,==1.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
26,transformers,==4.21.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/speech_to_speech/asr_bleu/requirements.txt,*,*@*,*
27,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
28,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
29,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
30,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
31,appdirs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
32,decorator,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
33,amfm_decompy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
34,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
35,numba,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
36,joblib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
37,einops,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/emotion_conversion/requirements.txt,*,*@*,*
38,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/multilingual/data_scripts/requirement.txt,*,*@*,*
39,wget,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fairseq/examples/multilingual/data_scripts/requirement.txt,*,*@*,*
