,dep,version,filepath,bloated,cve,affected versions,advisory
0,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2013-1888,<1.3,pip before 1.3 allows local users to overwrite arbitrary files via a symlink attack on a file in the /tmp/pip-build temporary directory.
1,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2013-1629,<1.3,"pip before 1.3 uses HTTP to retrieve packages from the PyPI repository, and does not perform integrity checks on package contents, which allows man-in-the-middle attackers to execute arbitrary code via a crafted response to a ""pip install"" operation."
2,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,PVE-2021-25959,<1.4,pip 1.4 includes a security patch to pip's ssl support related to certificate DNS wildcard matching.
3,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2013-5123,<1.5,"The mirroring support (-M, --use-mirrors) in Python Pip before 1.5 uses insecure DNS querying and authenticity checks which allows attackers to perform man-in-the-middle attacks. See CVE-2013-5123."
4,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2019-20916,<19.2,"Pip before 19.2 allows Directory Traversal when a URL is given in an install command, because a Content-Disposition header can have ../ in a filename, as demonstrated by overwriting the /root/.ssh/authorized_keys file. This occurs in _download_http_url in _internal/download.py."
5,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2021-3572,<21.1,A flaw was found in python-pip in the way it handled Unicode separators in git references. A remote attacker could possibly use this issue to install a different revision on a repository. The highest threat from this vulnerability is to data integrity. This is fixed in python-pip version 21.1.
6,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2021-28363,<21.1,Pip 21.1 updates its dependency 'urllib3' to v1.26.4 due to security issues.
7,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2014-8991,<6.0,pip before 6.0 is not using a randomized and secure default build directory when possible. (CVE-2014-8991).
8,pip,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,CVE-2015-2296,<6.1.0,Pip 6.1.0 updates its bundled dependency 'requests' to 2.6.0 to include a security fix.
9,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/fastai/setup.py,False,no one,no one,no one
