,dep,version,filepath,type,condition,status
0,pbr,==5.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
1,MarkupSafe,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
2,requests,==2.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
3,pyparsing,==2.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
4,snowballstemmer,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
5,sphinx-rtd-theme,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
6,Babel,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
7,certifi,==2020.6.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
8,six,==1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
9,Sphinx,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
10,sphinxcontrib-applehelp,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
11,sphinxcontrib-jsmath,==1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
12,sphinxcontrib-serializinghtml,==1.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
13,alabaster,==0.7.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
14,parsimonious,==0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,*,*@*,*
