,dep,version,filepath,bloated,cve,affected versions,advisory
0,pbr,==5.4.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,no one,no one,no one
1,MarkupSafe,==1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,no one,no one,no one
2,requests,==2.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
3,requests,==2.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
4,pyparsing,==2.4.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,no one,no one,no one
5,snowballstemmer,==2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,no one,no one,no one
6,sphinx-rtd-theme,==0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,no one,no one,no one
7,Babel,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,CVE-2021-42771,<2.9.1,"Babel 2.9.1 includes a fix for CVE-2021-42771: Babel.Locale in Babel before 2.9.1 allows attackers to load arbitrary locale .dat files (containing serialized Python objects) via directory traversal, leading to code execution.
https://github.com/python-babel/babel/pull/782"
8,certifi,==2020.6.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,CVE-2022-23491,<2022.12.07,"Certifi 2022.12.07 includes a fix for CVE-2022-23491: Certifi 2022.12.07 removes root certificates from ""TrustCor"" from the root store. These are in the process of being removed from Mozilla's trust store. TrustCor's root certificates are being removed pursuant to an investigation prompted by media reporting that TrustCor's ownership also operated a business that produced spyware. Conclusions of Mozilla's investigation can be found in the linked google group discussion.
https://github.com/certifi/python-certifi/security/advisories/GHSA-43fp-rhv2-5gv8
https://groups.google.com/a/mozilla.org/g/dev-security-policy/c/oxX69KFvsm4/m/yLohoVqtCgAJ"
9,six,==1.15.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fathom/cli/doc-building-requirements.txt,False,no one,no one,no one
