,dep,version,filepath,type,condition,status
0,setuptools_scm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,setup_requires,@*,*
1,grpcio,>=1.47.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,setup_requires,@*,*
2,grpcio-tools,>=1.47.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,setup_requires,@*,*
3,mypy-protobuf,==3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,setup_requires,@*,*
4,pybindgen,==0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,setup_requires,@*,*
5,click,">=7.0.0,<9.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
6,colorama,">=0.3.9,<1",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
7,dill,~=0.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
8,fastavro,">=1.1.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
9,grpcio,">=1.47.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
10,grpcio-reflection,">=1.47.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
11,Jinja2,">=2,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
12,jsonschema,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
13,mmh3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
14,numpy,">=1.22,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
15,pandas,">=1.4.3,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
16,pandavro,~=1.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
17,protobuf,"<5,>3.20",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
18,proto-plus,">=1.20.0,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
19,pyarrow,">=4,<12",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
20,pydantic,">=1,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
21,pygments,">=2.12.0,<3",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
22,PyYAML,">=5.4.0,<7",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
23,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
24,SQLAlchemy,">1,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
25,tabulate,">=0.8.0,<1",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
26,tenacity,">=7,<9",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
27,toml,">=0.10.0,<1",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
28,tqdm,">=4,<5",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
29,typeguard,==2.13.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
30,fastapi,">=0.68.0,<1",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
31,uvicorn,">=0.14.0,<1",/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
32,gunicorn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
33,dask,>=2021.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
34,bowler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/feast/setup.py,install_requires,*@*,*
