,dep,version,filepath,type,condition,status
0,jax,==0.4.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
1,typing-extensions,~=4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
2,tensorflow,~=2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
3,dm-tree,==0.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
4,jaxlib,==0.4.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
5,portpicker,~=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
6,tqdm,~=4.64,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
7,tensorflow-privacy,==0.8.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
8,grpcio,~=1.46,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
9,attrs,~=21.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
10,google-vizier,==0.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
11,numpy,~=1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
12,scipy,~=1.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
13,farmhashpy,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
14,semantic-version,~=2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
15,cachetools,~=3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
16,tensorflow-model-optimization,==0.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
17,tensorflow-compression,~=2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
18,absl-py,">=1.0,==1.*",/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
19,dp-accounting,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/requirements.txt,*,*@*,*
20,absl-py,">=1.0,==1.*",/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
21,attrs,~=21.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
22,cachetools,~=3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
23,dm-tree,==0.1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
24,dp-accounting,==0.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
25,farmhashpy,==0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
26,google-vizier,==0.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
27,grpcio,~=1.46,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
28,jaxlib,==0.4.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
29,jax,==0.4.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
30,numpy,~=1.21,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
31,portpicker,~=1.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
32,scipy,~=1.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
33,semantic-version,~=2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
34,tensorflow-compression,~=2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
35,tensorflow-model-optimization,==0.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
36,tensorflow-privacy,==0.8.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
37,tensorflow,~=2.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
38,tqdm,~=4.64,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
39,typing-extensions,~=4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/federated/tensorflow_federated/tools/python_package/setup.py,install_requires,*@*,*
