,dep,version,filepath,bloated,cve,affected versions,advisory
0,python-dateutil,~=2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
1,sqlalchemy-bigquery,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
2,requests,~=2.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
3,requests,~=2.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
4,attrs,~=22.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
5,sqlalchemy,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,PVE-2022-51668,<2.0.0b1,"Sqlalchemy 2.0.0b1 avoids leaking cleartext passwords to the open for careless uses of str(engine.URL()) in logs and prints.
https://github.com/sqlalchemy/sqlalchemy/pull/8563"
6,sqlalchemy,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,CVE-2019-7164,"<=1.2.17,>=1.3.0b1,<=1.3.0b2","SQLAlchemy through 1.2.17 and 1.3.x through 1.3.0b2 allows SQL Injection via the order_by parameter.
https://github.com/sqlalchemy/sqlalchemy/issues/4481"
7,pandas,~=1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,CVE-2020-13091,">=0,<1.0.4","** DISPUTED ** pandas through 1.0.3 can unserialize and execute commands from an untrusted file that is passed to the read_pickle() function, if __reduce__ makes an os.system call. NOTE: third parties dispute this issue because the read_pickle() function is documented as unsafe and it is the user's responsibility to use the function in a secure manner."
8,lxml,~=4.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
9,immutabledict,~=2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
10,google-cloud-bigquery,~=2.34,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
11,absl-py,~=0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
12,requests-mock,~=1.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
13,requests-toolbelt,~=0.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
14,stringcase,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
15,antlr4-python3-runtime,~=4.9.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
16,backports.zoneinfo,~=0.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
17,protobuf,~=3.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,CVE-2021-22570,<3.15.0,"Protobuf 3.15.0 includes a fix for CVE-2021-22570: Nullptr dereference when a null char is present in a proto symbol. The symbol is parsed incorrectly, leading to an unchecked call into the proto file's name during generation of the resulting error message. Since the symbol is incorrectly parsed, the file is nullptr."
18,protobuf,~=3.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,CVE-2022-1941,"<3.18.3,>=3.19.0rc0,<3.19.5,>=3.20.0rc0,<3.20.2,>=4.0.0rc0,<4.21.6","A parsing vulnerability for the MessageSet type in the ProtocolBuffers versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 3.21.5 for protobuf-cpp, and versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 4.21.5 for protobuf-python can lead to out of memory failures. A specially crafted message with multiple key-value per elements creates parsing issues, and can lead to a Denial of Service against services receiving unsanitized input. We recommend upgrading to versions 3.18.3, 3.19.5, 3.20.2, 3.21.6 for protobuf-cpp and 3.18.3, 3.19.5, 3.20.2, 4.21.6 for protobuf-python. Versions for 3.16 and 3.17 are no longer updated."
19,six,~=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/bazel/requirements.txt,False,no one,no one,no one
20,python-dateutil,~=2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/py/requirements.txt,False,no one,no one,no one
21,sqlalchemy-bigquery,~=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/fhir/py/requirements.txt,False,no one,no one,no one
