,dep,version,filepath,type,condition,status
0,deprecated,>=1.2.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
1,bpemb,>=0.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
2,mpld3,>=0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
3,gensim,>=4.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
4,pytorch_revgrad,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
5,pptree,>=3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
6,transformers,">=4.18.0,<5.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
7,boto3,>=1.20.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
8,matplotlib,>=2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
9,tabulate,>=0.8.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
10,transformer-smaller-training-vocab,>=0.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
11,scikit-learn,>=1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
12,regex,>=2022.1.18,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
13,sqlitedict,>=2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
14,tqdm,>=4.63.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
15,urllib3,"<2.0.0,>=1.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
16,wikipedia-api,>=0.5.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
17,lxml,>=4.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
18,conllu,>=4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flair/requirements.txt,*,*@*,*
