,dep,version,filepath,type,condition,status
0,tqdm,~=4.28,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
1,GitPython,~=2.1.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
2,boto3,>=1.9.100,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
3,colorama,~=0.3.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
4,gensim,==3.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
5,tensorboardx-hparams,==1.7.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
6,torch,~=1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
7,pip,~=19.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
8,jinja2,~=2.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
9,scikit-learn,~=0.20.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
10,pygments,~=2.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
11,ruamel.yaml,">=0.15.87,<0.16.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
12,numpy,~=1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
13,sru,~=2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
14,ninja,~=1.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
15,transformers,~=2.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
16,ray,==0.7.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
17,paramiko,~=2.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
18,dill,>=0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
19,pandas,>=0.23.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
20,requests,~=2.21.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
21,nltk,~=3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
22,awscli,~=1.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
23,Flask,~=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/requirements.txt,*,*@*,*
24,flake8-formatter-junit-xml,==0.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
25,pytest,>=4.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
26,pytest-cache,>=1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
27,pytest-mock,>=1.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
28,bandit,>=1.6.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
29,flake8,>=3.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
30,typed-ast,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
31,moto,>=1.3.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
32,mypy,==0.761,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
33,pytest-bandit,>=0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
34,safety,>=1.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
35,coverage,>=5.0.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
36,pytest-pep8,>=1.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
37,pytest-flake8,>=1.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
38,mypy-extensions,>=0.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
39,pytest-cov,>=2.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
40,responses,>=0.10.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/requirements.txt,*,*@*,*
41,argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/data/dummy_extensions/script/setup.py,install_requires,@*,*
42,argparse,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/tests/data/dummy_extensions/inference/setup.py,install_requires,@*,*
43,sphinx-rtd-theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/docs/requirements.txt,*,*@*,*
44,sphinx-autoapi,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/docs/requirements.txt,*,*@*,*
45,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/docs/requirements.txt,*,*@*,*
46,sphinx-autodoc-typehints,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flambe/docs/requirements.txt,*,*@*,*
