,dep,version,filepath,type,condition,status
0,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/.github/analytics/requirements.txt,*,*@*,*
1,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/.github/analytics/requirements.txt,*,*@*,*
2,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/.github/analytics/requirements.txt,*,*@*,*
3,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/.github/analytics/requirements.txt,*,*@*,*
4,optax,==0.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
5,clu,==0.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
6,ml-collections,==0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
7,numpy,==1.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
8,jax,>=0.3.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
9,absl-py,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
10,tensorflow,==2.11.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
11,tensorflow-datasets,==4.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
12,flax,==0.6.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/imagenet/requirements.txt,*,*@*,*
13,jax,==0.3.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/mnist/requirements.txt,*,*@*,*
14,clu,==0.0.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/mnist/requirements.txt,*,*@*,*
15,ml-collections,==0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/mnist/requirements.txt,*,*@*,*
16,numpy,==1.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/mnist/requirements.txt,*,*@*,*
17,jaxlib,==0.3.2+cuda11.cudnn82,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/mnist/requirements.txt,*,*@*,*
18,optax,==0.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/flax/examples/mnist/requirements.txt,*,*@*,*
