,dep,version,filepath,type,condition,status
0,mypy,==0.942,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
1,pytest,==7.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
2,flake8,==4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
3,black,==22.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
4,pytest-cov,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
5,coveralls,==3.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
6,coverage,==6.3.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
7,pre-commit,==2.17.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
8,codecov,==2.1.12,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/requirements.txt,*,*@*,*
9,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
10,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
11,setuptools,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
12,eagerpy,>=0.30.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
13,GitPython,>=3.0.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
14,typing-extensions,>=3.7.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
15,requests,>=2.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,install_requires,*@*,*
16,pytest,>=7.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,extras_require,*@*,*
17,pytest-cov,>=3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/setup.py,extras_require,*@*,*
18,tensorboardX,==2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
19,torch,==1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
20,responses,==0.10.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
21,torchvision,==0.11.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
22,pillow,==9.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
23,numba,==0.55.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
24,matplotlib,==3.5.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
25,tensorflow,==2.6.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
26,jax,==0.2.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/tests/requirements.txt,*,*@*,*
27,sphinx_rtd_theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/docs/requirements.txt,*,*@*,*
28,sphinx-typlog-theme,==0.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/docs/requirements.txt,*,*@*,*
29,sphinx-autobuild,==2021.3.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/docs/requirements.txt,*,*@*,*
30,sphinx,==4.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/foolbox/docs/requirements.txt,*,*@*,*
