,dep,version,filepath,type,condition,status
0,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
1,pyqrcode,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
2,qgrid,==1.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
3,subsurface,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
4,welly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
5,pyvistaqt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
6,pymc,>=4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
7,mplstereonet,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
8,arviz,>=0.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/optional-requirements.txt,*,*@*,*
9,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
10,emg3d,==0.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
11,ipywidgets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
12,welly,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
13,sphinx,==3.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
14,pooch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
15,sphinx_gallery,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/dev-requirements.txt,*,*@*,*
16,pandas,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
17,aesara,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
18,pymc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
19,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
20,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
21,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
22,seaborn,>=0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
23,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
24,scikit-image,>=0.17,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
25,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
26,pyvista,==0.39.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
27,pyvistaqt,==0.10.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
28,pyqt5,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
29,iPython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
30,xarray,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gempy/setup.py,install_requires,@*,*
