,dep,version,filepath,type,condition,status
0,ray,==0.8.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
1,isort,==4.3.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
2,flake8,==3.7.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
3,epc,==0.0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
4,mypy,==0.720,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
5,setuptools,==41.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
6,twine,==1.13.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
8,importmagic,==0.1.7,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
9,wheel,==0.33.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
10,aiohttp,==3.5.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
11,black,==19.3b0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
12,pytest,==4.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/requirements.txt,*,*@*,*
13,docker,>= 3.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
14,numpy,>= 1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
15,pandas,>= 0.24.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
16,scikit-learn,>= 0.22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
17,ray,>= 0.8.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
18,altair,>= 3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
19,click,>= 7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
20,humanize,>= 1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,install_requires,@*,*
21,nltk,>=3.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,extras_require,@*,*
22,gensim,>=3.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,extras_require,@*,*
23,spacy,>=2.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,extras_require,@*,*
24,sentencepiece,">= 0.1.83, < 0.1.90",/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,extras_require,@*,*
25,streamlit,>= 0.56.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gobbli/setup.py,extras_require,@*,*
