,dep,version,filepath,type,condition,status
0,ufmt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
1,twine,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
2,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
3,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
4,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
5,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
6,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
7,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
8,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
9,pyro-ppl,>=1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
10,pykeops,>=1.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
11,flake8,==4.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
12,flake8-print,==4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
13,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
14,nbval,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,extras_require,@*,*
15,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,install_requires,*@*,*
16,linear_operator,>=0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/setup.py,install_requires,*@*,*
17,torch,>=1.11,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
18,sphinx_rtd_theme,<0.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
19,sphinx,<=6.2.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
20,nbformat,<=5.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
21,nbsphinx,<=0.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
22,ipykernel,<=6.17.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
23,sphinx_autodoc_typehints,<=1.23.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
24,linear_operator,>=0.5.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
25,m2r2,<=0.3.3.post2,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
26,pyro-ppl,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
27,platformdirs,<=3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
28,ipython,<=8.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
29,nbclient,<=0.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
30,setuptools_scm,<=7.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/gpytorch/docs/requirements.txt,*,*@*,*
