,dep,version,filepath,type,condition,status
0,cython,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,extras_require,@*,*
1,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,extras_require,@*,*
2,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,extras_require,@*,*
3,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,extras_require,@*,*
4,asciitree,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
5,editdistance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
6,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
7,gensim,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
8,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
9,mwparserfromhell,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
10,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
11,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
12,plyvel,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
13,progressbar2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
14,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
15,spacy-experimental,==0.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
16,spacy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
17,termcolor,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
19,thinc,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
20,torch,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
21,spacy-transformers,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,install_requires,*@*,*
