,dep,version,filepath,bloated,cve,affected versions,advisory
0,cython,>=0.25,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
1,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
2,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2020-11023,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
3,Sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2020-11022,<3.0.4,Sphinx 3.0.4 updates jQuery version from 3.4.1 to 3.5.1 for security reasons.
4,sphinx_rtd_theme,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
5,asciitree,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
6,editdistance,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
7,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2019-1010083,<0.12.3,"Flask 0.12.3 includes a fix for CVE-2019-1010083: Unexpected memory usage. The impact is denial of service. The attack vector is crafted encoded JSON data. NOTE: this may overlap CVE-2018-1000656.
https://github.com/pallets/flask/pull/2695/commits/0e1e9a04aaf29ab78f721cfc79ac2a691f6e3929"
8,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2018-1000656,<0.12.3,flask version Before 0.12.3 contains a CWE-20: Improper Input Validation vulnerability in flask that can result in Large amount of memory usage possibly leading to denial of service. This attack appear to be exploitable via Attacker provides JSON data in incorrect encoding. This vulnerability appears to have been fixed in 0.12.3.
9,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,PVE-2021-25820,<0.6.1,flask 0.6.1 fixes a security problem that allowed clients to download arbitrary files  if the host server was a windows based operating system and the client  uses backslashes to escape the directory the files where exposed from.
10,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2023-30861,"<2.2.5,>=2.3.0,<2.3.2","Flask is a lightweight WSGI web application framework. When all of the following conditions are met, a response containing data intended for one client may be cached and subsequently sent by the proxy to other clients. If the proxy also caches 'Set-Cookie' headers, it may send one client's 'session' cookie to other clients. The severity depends on the application's use of the session and the proxy's behavior regarding cookies. The risk depends on all these conditions being met.

1. The application must be hosted behind a caching proxy that does not strip cookies or ignore responses with cookies.
2. The application sets 'session.permanent = True'
3. The application does not access or modify the session at any point during a request.
4. 'SESSION_REFRESH_EACH_REQUEST' enabled (the default).
5. The application does not set a 'Cache-Control' header to indicate that a page is private or should not be cached.

This happens because vulnerable versions of Flask only set the 'Vary: Cookie' header when the session is accessed or modified, not when it is refreshed (re-sent to update the expiration) without being accessed or modified. This issue has been fixed in versions 2.3.2 and 2.2.5."
11,gensim,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
12,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2015-4707,<3.2.0,Cross-site scripting (XSS) vulnerability in IPython before 3.2 allows remote attackers to inject arbitrary web script or HTML via vectors involving JSON error messages and the /api/notebooks path.
13,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2015-5607,<3.2.1,"Ipython 3.2.1 includes a fix for CVE-2015-5607: Cross-site request forgery in the REST API in IPython 2 and 3.
https://github.com/ipython/ipython/commit/1415a9710407e7c14900531813c15ba6165f0816"
14,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2015-6938,<3.2.2,"Cross-site scripting (XSS) vulnerability in the file browser in notebook/notebookapp.py in IPython Notebook before 3.2.2 and Jupyter Notebook 4.0.x before 4.0.5 allows remote attackers to inject arbitrary web script or HTML via a folder name.  NOTE: this was originally reported as a cross-site request forgery (CSRF) vulnerability, but this may be inaccurate."
15,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2015-7337,<3.2.2,"The editor in IPython Notebook before 3.2.2 and Jupyter Notebook 4.0.x before 4.0.5 allows remote attackers to execute arbitrary JavaScript code via a crafted file, which triggers a redirect to files/, related to MIME types."
16,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2023-24816,<8.10.0,"IPython 8.10.0 includes a fix for CVE-2023-24816: Versions prior to 8.10.0 are subject to a command injection vulnerability with very specific prerequisites. This vulnerability requires that the function 'IPython.utils.terminal.set_term_title' be called on Windows in a Python environment where ctypes is not available. The dependency on 'ctypes' in 'IPython.utils._process_win32' prevents the vulnerable code from ever being reached in the ipython binary. However, as a library that could be used by another tool 'set_term_title' could be called and hence introduce a vulnerability. If an attacker get untrusted input to an instance of this function they would be able to inject shell commands as current process and limited to the scope of the current process. As a workaround, users should ensure that any calls to the 'IPython.utils.terminal.set_term_title' function are done with trusted or filtered input.
https://github.com/ipython/ipython/security/advisories/GHSA-29gw-9793-fvw7"
17,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2014-3429,">=0.12,<1.2","IPython Notebook 0.12 through 1.x before 1.2 does not validate the origin of websocket requests, which allows remote attackers to execute arbitrary code by leveraging knowledge of the kernel id and a crafted page."
18,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2016-6524,">=2.0.0,<4.0.0",Ipython 4.0 includes a fix for CVE-2016-6524: Untrusted LaTeX output could be added to the page in a way that could execute javascript.
19,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2015-4706,">=3.0.0,<3.2.0",Cross-site scripting (XSS) vulnerability in IPython 3.x before 3.2 allows remote attackers to inject arbitrary web script or HTML via vectors involving JSON error messages and the /api/contents path.
20,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,CVE-2022-21699,">=8.0.0a0,<8.0.1,>=7.17.0,<7.31.1,>=6.0.0a0,<7.16.3,<5.11","Ipython versions 8.0.1, 7.31.1, 7.16.3 and 5.11 include a fix for CVE-2022-21699: Affected versions are subject to an arbitrary code execution vulnerability achieved by not properly managing cross user temporary files. This vulnerability allows one user to run code as another on the same machine.
https://github.com/ipython/ipython/security/advisories/GHSA-pq7m-3gw7-gq5x"
21,mwparserfromhell,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
22,networkx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,False,no one,no one,no one
23,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,True,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
24,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,True,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
25,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/graphbrain/setup.py,True,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
