,dep,version,filepath,type,condition,status
0,hydra-core,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
1,omegaconf,>=2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
2,imageio-ffmpeg,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
3,attrs,>=19.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
4,gym,">=0.22.0,<0.23.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
5,tqdm,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
6,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
7,numpy-quaternion,>=2019.3.18.14.33.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
8,scipy,>=1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
9,numba,>=0.44.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
10,pickle5,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@ python_version < '3.8',*
11,imageio,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
12,numpy,>=1.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,*,*@*,*
13,hydra-core,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
14,omegaconf,>=2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
15,imageio-ffmpeg,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
16,attrs,>=19.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
17,gym,">=0.22.0,<0.23.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
18,tqdm,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
19,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
20,numpy-quaternion,>=2019.3.18.14.33.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
21,scipy,>=1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
22,numba,>=0.44.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
23,pickle5,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@ python_version < '3.8',*
24,imageio,>=2.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
25,numpy,>=1.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
26,torch,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
27,tensorboard,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
28,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
29,protobuf,==3.20.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
30,moviepy,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
31,ifcfg,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
32,faster_fifo,>=1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
33,threadpoolctl,>=3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
34,lmdb,>=0.98,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
35,webdataset,==0.1.40,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/setup.py,install_requires,(__name__ == '__main__')@*,*
36,torch,>=1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/requirements.txt,*,*@*,*
37,tensorboard,==2.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/requirements.txt,*,*@*,*
38,torchvision,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/requirements.txt,*,*@*,*
39,protobuf,==3.20.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/requirements.txt,*,*@*,*
40,moviepy,>=1.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/requirements.txt,*,*@*,*
41,ifcfg,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/ddppo/requirements.txt,*,*@*,*
42,faster_fifo,>=1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/ver/requirements.txt,*,*@*,*
43,threadpoolctl,>=3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/ver/requirements.txt,*,*@*,*
44,faster_fifo,==1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/ver/ci-requirements.txt,*,*@*,*
45,threadpoolctl,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/rl/ver/ci-requirements.txt,*,*@*,*
46,lmdb,>=0.98,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/il/requirements.txt,*,*@*,*
47,webdataset,==0.1.40,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-baselines/habitat_baselines/il/requirements.txt,*,*@*,*
