,dep,version,filepath,bloated,cve,affected versions,advisory
0,hydra-core,>=1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,no one,no one,no one
1,omegaconf,>=2.2.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,no one,no one,no one
2,imageio-ffmpeg,>=0.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,no one,no one,no one
3,attrs,>=19.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,no one,no one,no one
4,gym,">=0.22.0,<0.23.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,no one,no one,no one
5,tqdm,>=4.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
6,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2016-1517,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2016-1517: OpenCV 3.0.0 allows remote attackers to cause a denial of service (segfault) via vectors involving corrupt chunks.
7,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12602,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12602: OpenCV through 3.3 has a denial of service (memory consumption) issue, as demonstrated by the 10-opencv-dos-memory-exhaust test case."
8,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12603,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12603: OpenCV through 3.3 has an invalid write in the cv::RLByteStream::getBytes function in modules/imgcodecs/src/bitstrm.cpp when reading an image file by using cv::imread, as demonstrated by the 2-opencv-heapoverflow-fseek test case."
9,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12597,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2017-12597: OpenCV through 3.3 has an out-of-bounds write error in the function FillColorRow1 in utils.cpp when reading an image file by using cv::imread.
10,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12599,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2017-12599: OpenCV through 3.3 has an out-of-bounds read error in the function icvCvt_BGRA2BGR_8u_C4C3R when reading an image file by using cv::imread.
11,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12606,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for CVE-2017-12606: OpenCV through 3.3 has an out-of-bounds write error in the function FillColorRow4 in utils.cpp when reading an image file by using cv::imread.
12,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12601,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12601: OpenCV through 3.3 has a buffer overflow in the cv::BmpDecoder::readData function in modules/imgcodecs/src/grfmt_bmp.cpp when reading an image file by using cv::imread, as demonstrated by the 4-buf-overflow-readData-memcpy test case."
13,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12604,<3.3.1.11,Opencv-python 3.3.1.11 includes a fix for  CVE-2017-12604: OpenCV through 3.3 has an out-of-bounds write error in the FillUniColor function in utils.cpp when reading an image file by using cv::imread.
14,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12600,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12600: OpenCV through 3.3 has a denial of service (CPU consumption) issue, as demonstrated by the 11-opencv-dos-cpu-exhaust test case."
15,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2017-12598,<3.3.1.11,"Opencv-python 3.3.1.11 includes a fix for CVE-2017-12598: OpenCV through 3.3 has an out-of-bounds read error in the cv::RBaseStream::readBlock function in modules/imgcodecs/src/bitstrm.cpp when reading an image file by using cv::imread, as demonstrated by the 8-opencv-invalid-read-fread test case."
16,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2019-7317,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'libpng' to v1.6.37 to include a security fix.
17,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2022-0778,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
18,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2022-1292,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 update its dependency 'openssl' to v1_1_1o to include security fixes.
19,opencv-python,>=3.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/habitat-api/habitat-lab/requirements.txt,False,CVE-2022-27406,"<3.4.18,>=4.0.0,<4.6.0",Opencv-python 3.4.18 and 4.6.0 pin its dependency 'freetype' to v2.12.1 to include a security fix.
