,dep,version,filepath,type,condition,status
0,cython,>=0.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,setup_requires,*@*,*
1,setuptools,>=40.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,setup_requires,*@*,*
2,wheel,>=0.30,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,setup_requires,*@*,*
3,blosc,>=1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
4,cloudpickle,>=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
5,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
6,grpcio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
7,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
8,h5py,>=2.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
9,hdf5plugin,>=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
10,lmdb,>=0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
11,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
12,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
13,wrapt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
14,xxhash,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,install_requires,*@*,*
15,sphinx-material,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
16,IPython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
17,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
18,nbsphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
19,recommonmark,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
20,sphinx-click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
21,sphinx-copybutton,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
22,sphinx,>=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements.txt,*,*@*,*
23,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/docs/requirements_rtd.txt,*,*@*,*
