,dep,version,filepath,bloated,cve,affected versions,advisory
0,cython,>=0.27,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,no one,no one,no one
1,setuptools,>=40.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2022-40897,<65.5.1,"Python Packaging Authority (PyPA) setuptools before 65.5.1 allows remote attackers to cause a denial of service via HTML in a crafted package or custom PackageIndex page. There is a Regular Expression Denial of Service (ReDoS) in package_index.py.
https://pyup.io/posts/pyup-discovers-redos-vulnerabilities-in-top-python-packages"
2,wheel,>=0.30,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2022-40898,<0.38.1,"Wheel 0.38.1 includes a fix for CVE-2022-40898: An issue discovered in Python Packaging Authority (PyPA) Wheel 0.37.1 and earlier allows remote attackers to cause a denial of service via attacker controlled input to wheel cli.
https://pyup.io/posts/pyup-discovers-redos-vulnerabilities-in-top-python-packages"
3,blosc,>=1.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,no one,no one,no one
4,cloudpickle,>=1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,no one,no one,no one
5,click,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,PVE-2022-47833,<8.0.0,"Click 8.0.0 uses 'mkstemp()' instead of the deprecated & insecure 'mktemp()'.
https://github.com/pallets/click/issues/1752"
6,grpcio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2017-7860,<1.2.0,"Grpcio 1.2.0 includes a fix for CVE-2017-7860: Google gRPC before 2017-02-22 has an out-of-bounds write caused by a heap-based buffer overflow related to the parse_unix function in core/ext/client_channel/parse_address.c.
https://github.com/grpc/grpc/pull/9833/commits/bcd5f12e4bca2ed2c00cddb5ffd046aef6f4fb31"
7,grpcio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2017-7861,<1.2.0,"Grpcio 1.2.0 includes a fix for CVE-2017-7861: Google gRPC before 2017-02-22 has an out-of-bounds write related to the gpr_free function in core/lib/support/alloc.c.
https://github.com/grpc/grpc/pull/9833/commits/bcd5f12e4bca2ed2c00cddb5ffd046aef6f4fb31"
8,grpcio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2017-8359,<1.3.0,"Grpcio 1.3.0 includes a fix for CVE-2017-8359: Google gRPC before 2017-03-29 has an out-of-bounds write caused by a heap-based use-after-free related to the grpc_call_destroy function in core/lib/surface/call.c.
https://github.com/grpc/grpc/pull/10353/commits/aab6992c006be6fb80df73fd9f218365099c016d"
9,grpcio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2017-9431,<1.3.0,"Grpcio 1.3.0 includes a fix for CVE-2017-9431: Google gRPC before 2017-04-05 has an out-of-bounds write caused by a heap-based buffer overflow related to core/lib/iomgr/error.c.
https://github.com/grpc/grpc/pull/10492/commits/c6ec1155d026c91b1badb07ef1605bb747cff064"
10,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2021-22570,<3.15.0,"Protobuf 3.15.0 includes a fix for CVE-2021-22570: Nullptr dereference when a null char is present in a proto symbol. The symbol is parsed incorrectly, leading to an unchecked call into the proto file's name during generation of the resulting error message. Since the symbol is incorrectly parsed, the file is nullptr."
11,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2022-1941,"<3.18.3,>=3.19.0rc0,<3.19.5,>=3.20.0rc0,<3.20.2,>=4.0.0rc0,<4.21.6","A parsing vulnerability for the MessageSet type in the ProtocolBuffers versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 3.21.5 for protobuf-cpp, and versions prior to and including 3.16.1, 3.17.3, 3.18.2, 3.19.4, 3.20.1 and 4.21.5 for protobuf-python can lead to out of memory failures. A specially crafted message with multiple key-value per elements creates parsing issues, and can lead to a Denial of Service against services receiving unsanitized input. We recommend upgrading to versions 3.18.3, 3.19.5, 3.20.2, 3.21.6 for protobuf-cpp and 3.18.3, 3.19.5, 3.20.2, 4.21.6 for protobuf-python. Versions for 3.16 and 3.17 are no longer updated."
12,protobuf,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2015-5237,<3.4.0,"Protobuf 3.4.0 includes a fix for CVE-2015-5237: Integer overflow in serialization.
https://github.com/protocolbuffers/protobuf/issues/760"
13,h5py,>=2.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,no one,no one,no one
14,hdf5plugin,>=2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,no one,no one,no one
15,lmdb,>=0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2019-16225,">=0,<0.98","An issue was discovered in py-lmdb 0.97. For certain values of mp_flags, mdb_page_touch does not properly set up mc->mc_pg[mc->top], leading to an invalid write operation. NOTE: this outcome occurs when accessing a data.mdb file supplied by an attacker."
16,lmdb,>=0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2019-16226,">=0,<0.98","An issue was discovered in py-lmdb 0.97. mdb_node_del does not validate a memmove in the case of an unexpected node->mn_hi, leading to an invalid write operation. NOTE: this outcome occurs when accessing a data.mdb file supplied by an attacker."
17,lmdb,>=0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2019-16228,">=0,<0.98",An issue was discovered in py-lmdb 0.97. There is a divide-by-zero error in the function mdb_env_open2 if mdb_env_read_header obtains a zero value for a certain size field. NOTE: this outcome occurs when accessing a data.mdb file supplied by an attacker.
18,lmdb,>=0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2019-16224,">=0,<0.98","An issue was discovered in py-lmdb 0.97. For certain values of md_flags, mdb_node_add does not properly set up a memcpy destination, leading to an invalid write operation. NOTE: this outcome occurs when accessing a data.mdb file supplied by an attacker."
19,lmdb,>=0.94,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2019-16227,">=0,<0.98","An issue was discovered in py-lmdb 0.97. For certain values of mn_flags, mdb_cursor_set triggers a memcpy with an invalid write operation within mdb_xcursor_init1. NOTE: this outcome occurs when accessing a data.mdb file supplied by an attacker."
20,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2017-12852,<1.13.2,"Numpy 1.13.2 includes a fix for CVE-2017-12852: The numpy.pad function in Numpy 1.13.1 and older versions is missing input validation. An empty list or ndarray will stick into an infinite loop, which can allow attackers to cause a DoS attack.
https://github.com/numpy/numpy/issues/9560#issuecomment-322395292"
21,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2019-6446,<1.16.3,"Numpy 1.16.3 includes a fix for CVE-2019-6446: It uses the pickle Python module unsafely, which allows remote attackers to execute arbitrary code via a crafted serialized object, as demonstrated by a numpy.load call.
https://github.com/numpy/numpy/commit/89b688732b37616c9d26623f81aaee1703c30ffb"
22,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2021-33430,<1.21.0rc1,"Numpy 1.21.0rc1 includes a fix for CVE-2021-33430: A Buffer Overflow vulnerability in the PyArray_NewFromDescr_int function of ctors.c when specifying arrays of large dimensions (over 32) from Python code, which could let a malicious user cause a Denial of Service. 
NOTE: The vendor does not agree this is a vulnerability. In (very limited) circumstances a user may be able provoke the buffer overflow, the user is most likely already privileged to at least provoke denial of service by exhausting memory. Triggering this further requires the use of uncommon API (complicated structured dtypes), which is very unlikely to be available to an unprivileged user.
https://github.com/numpy/numpy/issues/18939"
23,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2021-34141,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-34141: An incomplete string comparison in the numpy.core component in NumPy before 1.22.0 allows attackers to trigger slightly incorrect copying by constructing specific string objects. 
NOTE: the vendor states that this reported code behavior is ""completely harmless.""
https://github.com/numpy/numpy/issues/18993"
24,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2021-41496,<1.22.0,"Numpy 1.22.0 includes a fix for CVE-2021-41496: Buffer overflow in the array_from_pyobj function of fortranobject.c, which allows attackers to conduct a Denial of Service attacks by carefully constructing an array with negative values. 
NOTE: The vendor does not agree this is a vulnerability; the negative dimensions can only be created by an already privileged user (or internally).
https://github.com/numpy/numpy/issues/19000"
25,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2021-41495,<1.22.2,"Numpy 1.22.2  includes a fix for CVE-2021-41495: Null Pointer Dereference vulnerability exists in numpy.sort in NumPy in the PyArray_DescrNew function due to missing return-value validation, which allows attackers to conduct DoS attacks by repetitively creating sort arrays. 
NOTE: While correct that validation is missing, an error can only occur due to an exhaustion of memory. If the user can exhaust memory, they are already privileged. Further, it should be practically impossible to construct an attack which can target the memory exhaustion to occur at exactly this place.
https://github.com/numpy/numpy/issues/19038"
26,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2014-1859,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1859: (1) core/tests/test_memmap.py, (2) core/tests/test_multiarray.py, (3) f2py/f2py2e.py, and (4) lib/tests/test_io.py in NumPy before 1.8.1 allow local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/pull/4262"
27,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2014-1858,<1.8.1,"Numpy 1.8.1 includes a fix for CVE-2014-1858: __init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.
https://github.com/numpy/numpy/commit/0bb46c1448b0d3f5453d5182a17ea7ac5854ee15"
28,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hangar-py/setup.py,False,CVE-2016-10075,<4.11.2,The tqdm._version module in tqdm versions before 4.11.2 allows local users to execute arbitrary code via a crafted repo with a malicious git log in the current working directory.
