,dep,version,filepath,type,condition,status
0,attrs,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
1,google-auth,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
2,retrying,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
3,typing,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
4,httplib2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
5,requests-toolbelt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
6,six,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
7,urllib3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
8,google-auth-httplib2,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
9,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
10,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
11,google-api-core,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
12,google-cloud-pubsub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
13,absl-py,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
14,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
15,mock,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
16,grpcio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
17,tensorflow-serving-api,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/toolkit/setup.py,install_requires,*@*,*
18,absl-py,">=0.7,<0.9",/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
19,apache-beam,">=2.16,<=2.18",/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
20,numpy,">=1.16,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
21,protobuf,">=3.7,<4",/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
22,psutil,">=5.6,<6",/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
23,six,">=1.12,<2",/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
24,tensorflow_hub,>=0.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
25,tensorflow,==1.15.*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/setup.py,install_requires,*@*,*
26,requests-toolbelt,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/scripts/inference/requirements.txt,*,*@*,*
27,google-api-python-client,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/healthcare/imaging/ml/ml_codelab/scripts/inference/requirements.txt,*,*@*,*
