,dep,version,filepath,type,condition,status
0,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,@*,*
1,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,@*,*
2,coverage,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,@*,*
3,pre-commit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,@*,*
4,pyspark,>=2.4.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,@*,*
5,pyarrow,>1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,@*,*
6,memory-profiler,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
7,psutil,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
8,numpy,>=1.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
9,onnxconverter-common,>=1.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
10,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
11,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
12,torch,>1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
14,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
15,protobuf,>=3.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,install_requires,*@*,*
16,onnxruntime,>=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
17,onnxmltools,">=1.6.0,<=1.11.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
18,skl2onnx,>=1.7.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
22,xgboost,>=0.90,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
23,lightgbm,">=2.2,<=3.3.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
24,holidays,==0.24,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
25,prophet,==1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/hummingbird/setup.py,extras_require,*@*,*
