,dep,version,filepath,type,condition,status
0,scrapbook,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
1,flake8-bugbear,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
2,isort,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
3,flake8,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
4,pytest-cov,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
5,flake8-breakpoint,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
6,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
7,markupsafe,<2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
8,itsdangerous,==2.0.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
9,papermill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
10,flake8-logging-format,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
11,jinja2,==2.11.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
12,flake8-blind-except,==0.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
13,nbformat,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
14,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
15,flake8-pytest-style,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-test.txt,*,*@*,*
16,dash-cytoscape,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-vis.txt,*,*@*,*
17,dash,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-vis.txt,*,*@*,*
18,sphinx,==4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-doc.txt,*,*@*,*
19,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-doc.txt,*,*@*,*
20,xmlrunner,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
21,mlflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
22,xgboost,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
23,lime,>=0.2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
24,hdbscan,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
25,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
26,sklearn_pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
27,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/requirements-dev.txt,*,*@*,*
28,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
29,pandas,<2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
30,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
31,ml-wrappers,~=0.4.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
32,scikit-learn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
33,packaging,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
34,interpret-core,">=0.1.20, <=0.3.2",/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
35,shap,">=0.20.0, <=0.41.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
36,raiutils,~=0.4.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,install_requires,*@*,*
37,hdbscan,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,extras_require,*@*,*
38,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,extras_require,*@*,*
39,pyyaml,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,extras_require,*@*,*
40,keras,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,extras_require,*@*,*
41,lightgbm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,extras_require,*@*,*
42,lime,>=0.2.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/interpret-community/python/setup.py,extras_require,*@*,*
