,dep,version,filepath,type,condition,status
0,Cython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/docs_requirements.txt,*,*@*,*
1,sphinx,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/docs_requirements.txt,*,*@*,*
2,annoy,>=1.15.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/requirements.txt,*,*@*,*
3,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/requirements.txt,*,*@*,*
4,scikit-learn,>0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/requirements.txt,*,*@*,*
5,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/requirements.txt,*,*@*,*
6,tensorflow,>=1.13.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/requirements.txt,*,*@*,*
7,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/requirements.txt,*,*@*,*
8,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,install_requires,@*,*
9,scikit-learn,>0.20.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,install_requires,@*,*
10,annoy,>=1.15.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,install_requires,@*,*
11,tqdm,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,install_requires,@*,*
12,dill,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,install_requires,@*,*
13,pytest,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,extras_require,@*,*
14,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,extras_require,@*,*
15,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,extras_require,@*,*
16,tensorflow-cpu,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,extras_require,@*,*
17,tensorflow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/ivis/setup.py,extras_require,@*,*
