,dep,version,filepath,type,condition,status
0,kfp,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
1,autopep8,">=1.4, <1.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
2,astor,>= 0.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
3,networkx,">=2.3, <3.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
4,jinja2,">=2.10, <3.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
5,pyflakes,>=2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
6,dill,">=0.3, <0.4",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
7,IPython,>= 7.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
8,jupyter-client,">=5.3.4, <7.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
9,jupyter-core,>= 4.6.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
10,nbconvert,">=5.6.1, <6.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
11,nbformat,">=4.4, <5.0.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
12,ipykernel,>= 5.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
13,notebook,>= 6.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
14,packaging,> 20,/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
15,ml_metadata,">= 0.26.0, < 1",/home/daniele/git/NICHE_projects/Repo/Cloneables/kale/backend/setup.py,install_requires,@*,*
