,dep,version,filepath,type,condition,status
0,usd-core,<=23.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,*,"*@ python_version < ""3.11""",*
1,tqdm,>=4.51.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,*,*@*,*
2,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,*,*@*,*
3,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,*,*@*,*
4,scipy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,*,*@*,*
5,pybind11,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,*,*@*,*
6,ipython,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,"*@ python_version >= ""3.9""",*
7,ipython,< 8.13,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,"*@ python_version < ""3.9""",*
8,ipycanvas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
9,pyzmq,<25,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
10,tornado,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
11,ipyevents,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
12,flask,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
13,jupyter_client,<8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
14,comm,>=0.1.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/viz_requirements.txt,*,*@*,*
15,flake8-comprehensions,==3.2.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
16,flake8,==3.7.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
17,flake8-bugbear,==20.1.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
18,flake8-pyi,==19.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
19,flake8-mypy,==17.8.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
20,nbmake,==1.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
21,pytest-cov,==3.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
22,pytest,==7.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
23,jupyter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/ci_requirements.txt,*,*@*,*
24,setuptools,==58.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/doc_requirements.txt,*,*@*,*
25,sphinx_rtd_theme,==1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/doc_requirements.txt,*,*@*,*
26,sphinx,">=3.5.4,<5.1.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/doc_requirements.txt,*,*@*,*
27,urllib3,"<1.27,>=1.21.1",/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/doc_requirements.txt,*,*@*,*
28,cython,==0.29.20,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/build_requirements.txt,*,*@*,*
29,numpy,"<1.27.0,>=1.19.5",/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/docs/readthedocs_requirements.txt,*,*@*,*
30,scipy,==1.10.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/docs/readthedocs_requirements.txt,*,*@*,*
31,torch,==1.8.2+cpu,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/docs/readthedocs_requirements.txt,*,*@*,*
