,dep,version,filepath,bloated,cve,affected versions,advisory
0,usd-core,<=23.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,no one,no one,no one
1,tqdm,>=4.51.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,no one,no one,no one
2,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2014-3589,"<2.3.2,>=2.5.0,<2.5.2","Pillow versions 2.3.2 and 2.5.2 include a fix for CVE-2014-3589: PIL/IcnsImagePlugin.py in Python Imaging Library (PIL) and Pillow before 2.3.2 and 2.5.x before 2.5.2 allows remote attackers to cause a denial of service via a crafted block size.
https://github.com/python-pillow/Pillow/commit/205e056f8f9b06ed7b925cf8aa0874bc4aaf8a7d"
3,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2020-15999,<8.0.1,Pillow 8.0.1 updates 'FreeType' used in binary wheels to v2.10.4 to include a security fix.
4,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2020-35654,<8.1.0,Pillow 8.1.0 fixes TIFF OOB Write error. CVE-2020-35654 #5175.
5,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2020-35653,<8.1.0,"In Pillow before 8.1.0, PcxDecode has a buffer over-read when decoding a crafted PCX file because the user-supplied stride value is trusted for buffer calculations."
6,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2020-35655,<8.1.0,Pillow 8.1.0 includes a fix for SGI Decode buffer overrun. CVE-2020-35655 #5173.
7,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2021-25289,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-25289: TiffDecode has a heap-based buffer overflow when decoding crafted YCbCr files because of certain interpretation conflicts with LibTIFF in RGBA mode. NOTE: this issue exists because of an incomplete fix for CVE-2020-35654.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
8,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2021-25290,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-25290: In TiffDecode.c, there is a negative-offset memcpy with an invalid size.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
9,Pillow,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kaolin/tools/requirements.txt,False,CVE-2021-27922,<8.1.1,"Pillow 8.1.1 includes a fix for CVE-2021-27922: Pillow before 8.1.1 allows attackers to cause a denial of service (memory consumption) because the reported size of a contained image is not properly checked for an ICNS container, and thus an attempted memory allocation can be very large.
https://pillow.readthedocs.io/en/stable/releasenotes/8.1.1.html"
