,dep,version,filepath,type,condition,status
0,docutils,==0.16,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
1,sphinx,~=5.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
2,sphinx_rtd_theme,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
3,sphinx-autodoc-typehints,==1.20.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
4,sphinx_copybutton,==0.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
5,sphinx-notfound-page,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
6,ipykernel,">=5.3, <7.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
7,sphinxcontrib-mermaid,~=0.7.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
8,myst-parser,~=1.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
9,Jinja2,<3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
10,kedro-datasets,~=1.4.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
11,adlfs,">=2021.7.1, <=2022.2",/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@ python_version == '3.7',*
12,adlfs,~=2023.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@ python_version >= '3.8',*
13,bandit,">=1.6.2, <2.0",/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
14,behave,==1.2.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
15,biopython,~=1.73,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
16,blacken-docs,==1.9.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
17,black,~=22.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kedro/setup.py,extras_require,*@*,*
