,dep,version,filepath,type,condition,status
0,joblib,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
1,Markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
2,cachetools,==5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
3,charset-normalizer,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
4,pyasn1-modules,==0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
5,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
6,Jinja2,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
7,Werkzeug,==2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
8,typedb-protocol,==2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
9,scipy,==1.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
10,decorator,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
11,google-auth,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
12,absl-py,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
13,typing-extensions,==4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
14,zipp,==3.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
15,requests,==2.28.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
16,tensorboard,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
17,pytz,==2022.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
18,requests-oauthlib,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
19,google-auth-oauthlib,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
20,python-dateutil,==2.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
21,oauthlib,==3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
22,pyasn1,==0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
23,tensorboard-data-server,==0.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
24,pyparsing,==3.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
25,tqdm,==4.64.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
26,networkx,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
27,grpcio,==1.43.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
28,urllib3,==1.26.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
29,protobuf,==3.15.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
30,torch-scatter,==2.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
31,idna,==3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
32,rsa,==4.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
33,torch-geometric,==2.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
34,importlib-metadata,==4.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
35,certifi,==2022.6.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
36,scikit-learn,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
37,pandas,==1.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
38,torch-sparse,==0.6.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
39,MarkupSafe,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
40,torch,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
41,tensorboard-plugin-wit,==1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
42,typedb-client,==2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
43,threadpoolctl,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
44,numpy,==1.21.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,*,*@*,*
45,joblib,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
46,Markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
47,cachetools,==5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
48,charset-normalizer,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
49,pyasn1-modules,==0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
50,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
51,Jinja2,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
52,Werkzeug,==2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
53,scipy,==1.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
54,decorator,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
55,google-auth,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
56,absl-py,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
57,typing-extensions,==4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
58,zipp,==3.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
59,requests,==2.28.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
60,tensorboard,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
61,pytz,==2022.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
62,requests-oauthlib,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
63,google-auth-oauthlib,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
64,python-dateutil,==2.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
65,oauthlib,==3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
66,pyasn1,==0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
67,tensorboard-data-server,==0.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
68,pyparsing,==3.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
69,tqdm,==4.64.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
70,networkx,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
71,grpcio,==1.43.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
72,urllib3,==1.26.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
73,protobuf,==3.15.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
74,torch-scatter,==2.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
75,idna,==3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
76,rsa,==4.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
77,torch-geometric,==2.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
78,importlib-metadata,==4.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
79,certifi,==2022.6.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
80,scikit-learn,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
81,pandas,==1.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
82,torch-sparse,==0.6.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
83,MarkupSafe,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
84,torch,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
85,tensorboard-plugin-wit,==1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
86,threadpoolctl,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
87,numpy,==1.21.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements_dev.txt,*,*@*,*
88,joblib,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
89,Markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
90,cachetools,==5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
91,charset-normalizer,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
92,pyasn1-modules,==0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
93,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
94,Jinja2,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
95,Werkzeug,==2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
96,typedb-protocol,==2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
97,scipy,==1.7.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
98,decorator,==5.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
99,google-auth,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
100,absl-py,==1.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
101,typing-extensions,==4.3.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
102,zipp,==3.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
103,requests,==2.28.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
104,tensorboard,==2.9.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
105,pytz,==2022.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
106,requests-oauthlib,==1.3.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
107,google-auth-oauthlib,==0.4.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
108,python-dateutil,==2.8.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
109,oauthlib,==3.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
110,pyasn1,==0.4.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
111,tensorboard-data-server,==0.6.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
112,pyparsing,==3.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
113,tqdm,==4.64.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
114,networkx,==2.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
115,grpcio,==1.43.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
116,urllib3,==1.26.10,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
117,protobuf,==3.15.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
118,torch-scatter,==2.0.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
119,idna,==3.3,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
120,rsa,==4.9,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
121,torch-geometric,==2.0.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
122,importlib-metadata,==4.12.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
123,certifi,==2022.6.15,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
124,scikit-learn,==1.0.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
125,pandas,==1.3.5,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
126,torch-sparse,==0.6.14,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
127,MarkupSafe,==2.1.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
128,torch,==1.11.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
129,tensorboard-plugin-wit,==1.8.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
130,typedb-client,==2.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
131,threadpoolctl,==3.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
132,numpy,==1.21.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/install_requires.txt,*,*@*,*
