,dep,version,filepath,bloated,cve,affected versions,advisory
0,joblib,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,PVE-2022-51394,<1.1.1,"Joblib 1.1.1 fixes a security issue where 'eval(pre_dispatch)' could potentially run arbitrary code. Now only basic numerics are supported.
https://github.com/joblib/joblib/pull/1327"
1,joblib,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,CVE-2022-21797,<1.2.0,"Joblib 1.2.0 includes a fix for CVE-2022-21797: The package joblib from 0 and before 1.2.0 is vulnerable to Arbitrary Code Execution via the pre_dispatch flag in Parallel() class due to the eval() statement.
https://github.com/joblib/joblib/issues/1128"
2,joblib,==1.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,PVE-2022-51041,<1.2.0,"Joblib 1.2.0 fixes a security issue where 'eval(pre_dispatch)' could potentially run arbitrary code. Now only basic numerics are supported.
https://github.com/joblib/joblib/pull/1327"
3,Markdown,==3.4.1,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,no one,no one,no one
4,cachetools,==5.2.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,no one,no one,no one
5,charset-normalizer,==2.1.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,no one,no one,no one
6,pyasn1-modules,==0.2.8,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,no one,no one,no one
7,six,==1.16.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,no one,no one,no one
8,Jinja2,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,CVE-2019-10906,">=0,<2.10.1","In Pallets Jinja before 2.10.1, str.format_map allows a sandbox escape."
9,Jinja2,==3.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,CVE-2014-0012,">=0,<2.7.3","FileSystemBytecodeCache in Jinja2 2.7.2 does not properly create temporary directories, which allows local users to gain privileges by pre-creating a temporary directory with a user's uid.  NOTE: this vulnerability exists because of an incomplete fix for CVE-2014-1402."
10,Werkzeug,==2.1.2,/home/daniele/git/NICHE_projects/Repo/Cloneables/kglib/requirements.txt,False,CVE-2023-23934,<2.2.3,"Werkzeug 2.2.3 includes a fix for CVE-2023-23934: Browsers may allow ""nameless"" cookies that look like '=value' instead of 'key=value'. A vulnerable browser may allow a compromised application on an adjacent subdomain to exploit this to set a cookie like '=__Host-test=bad' for another subdomain. Werkzeug prior to 2.2.3 will parse the cookie '=__Host-test=bad' as __Host-test=bad'. If a Werkzeug application is running next to a vulnerable or malicious subdomain which sets such a cookie using a vulnerable browser, the Werkzeug application will see the bad cookie value but the valid cookie key.
https://github.com/pallets/werkzeug/security/advisories/GHSA-px8h-6qxv-m22q"
