,dep,version,filepath,type,condition,status
0,konlpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
1,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
2,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
3,langid,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
4,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
5,pocket,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
6,hb-config,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
7,slacker,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
8,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
9,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
10,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
11,fitbit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
12,feedparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
13,claf,>=0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
14,websockets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
15,asyncio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
16,geopy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
17,todoist-python,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
18,PyGithub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
19,python-twitter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
20,JPype1,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
21,py-trello,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
22,xmljson,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
23,python-forecastio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
24,python-jenkins,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
25,arrow,>=0.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,*,*@*,*
26,plotly,>= 4.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
27,numpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
28,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
29,dash-core-components,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
30,dash-table,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
31,arrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
32,pandas,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
33,dash-bootstrap-components,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
34,dash-html-components,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
35,dash,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,*,*@*,*
36,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/kino-webhook/requirements.txt,*,*@*,*
37,arrow,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/kino-webhook/requirements.txt,*,*@*,*
