,dep,version,filepath,bloated,cve,affected versions,advisory
0,konlpy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
1,matplotlib,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
2,boto3,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,PVE-2021-41708,<1.4.5,"Boto3 version 1.4.5 fixes an information exposure vulnerability: The boto logger boto3.resources.action, which propagates to root logger, logs the entire uploaded bytes at INFO level.
https://github.com/boto/boto3/issues/1017"
3,langid,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
4,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2014-1830,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. This fixes CVE-2014-1830.
5,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2014-1829,<2.3.0,Requests before 2.3.0 exposes Authorization or Proxy-Authorization headers on redirect. See: CVE-2014-1829.
6,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2018-18074,<=2.19.1,"Requests before 2.20.0 sends an HTTP Authorization header to an http URI upon receiving a same-hostname https-to-http redirect, which makes it easier for remote attackers to discover credentials by sniffing the network."
7,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2015-2296,">=2.1,<=2.5.3",The resolve_redirects function in sessions.py in requests 2.1.0 through 2.5.3 allows remote attackers to conduct session fixation attacks via a cookie without a host value in a redirect.
8,requests,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2023-32681,">=2.3.0,<2.31.0","Requests is a HTTP library. Since Requests 2.3.0, Requests has been leaking Proxy-Authorization headers to destination servers when redirected to an HTTPS endpoint. This is a product of how we use 'rebuild_proxies' to reattach the 'Proxy-Authorization' header to requests. For HTTP connections sent through the tunnel, the proxy will identify the header in the request itself and remove it prior to forwarding to the destination server. However when sent over HTTPS, the 'Proxy-Authorization' header must be sent in the CONNECT request as the proxy has no visibility into the tunneled request. This results in Requests forwarding proxy credentials to the destination server unintentionally, allowing a malicious actor to potentially exfiltrate sensitive information. This issue has been patched in version 2.31.0.

"
9,pocket,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
10,hb-config,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
11,slacker,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
12,seaborn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
13,sklearn,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
14,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,PVE-2023-54914,<3.6,"Nltk 3.6 includes a fix for a REDoS vulnerability.
https://github.com/nltk/nltk/pull/2597"
15,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2021-43854,<3.6.5,"Nltk 3.6.5 includes a fix for CVE-2021-43854: Versions prior to 3.6.5 are vulnerable to regular expression denial of service (ReDoS) attacks. The vulnerability is present in PunktSentenceTokenizer, sent_tokenize and word_tokenize. Any users of this class, or these two functions, are vulnerable to the ReDoS attack. In short, a specifically crafted long input to any of these vulnerable functions will cause them to take a significant amount of execution time. If your program relies on any of the vulnerable functions for tokenizing unpredictable user input, it's strongly recommended upgrading to a version of NLTK without the vulnerability. For users unable to upgrade the execution time can be bounded by limiting the maximum length of an input to any of the vulnerable functions.
https://github.com/nltk/nltk/security/advisories/GHSA-f8m6-h2c7-8h9x
https://github.com/nltk/nltk/issues/2866"
16,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2019-14751,">=0,<3.4.5","NLTK Downloader before 3.4.5 is vulnerable to a directory traversal, allowing attackers to write arbitrary files via a (dot dot slash) in an NLTK package (ZIP archive) that is mishandled during extraction."
17,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2021-3828,">=0,<3.6.4",Nltk before 3.6.4 is vulnerable to Inefficient Regular Expression Complexity.
18,nltk,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2021-3842,">=0,<3.6.6",Nltk before 3.6.6 is vulnerable to Inefficient Regular Expression Complexity.
19,fitbit,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
20,feedparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2009-5065,<5.0,Cross-site scripting (XSS) vulnerability in feedparser.py in Universal Feed Parser (aka feedparser or python-feedparser) before 5.0 allows remote attackers to inject arbitrary web script or HTML via vectors involving nested CDATA stanzas.
21,feedparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2011-1157,<5.0.1,Cross-site scripting (XSS) vulnerability in feedparser.py in Universal Feed Parser (aka feedparser or python-feedparser) 5.x before 5.0.1 allows remote attackers to inject arbitrary web script or HTML via malformed XML comments.
22,feedparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2011-1158,<5.0.1,"Cross-site scripting (XSS) vulnerability in feedparser.py in Universal Feed Parser (aka feedparser or python-feedparser) 5.x before 5.0.1 allows remote attackers to inject arbitrary web script or HTML via an unexpected URI scheme, as demonstrated by a javascript: URI."
23,feedparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2011-1156,<5.0.1,feedparser.py in Universal Feed Parser (aka feedparser or python-feedparser) before 5.0.1 allows remote attackers to cause a denial of service (application crash) via a malformed DOCTYPE declaration.
24,feedparser,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2012-2921,<5.1.2,Universal Feed Parser (aka feedparser or python-feedparser) before 5.1.2 allows remote attackers to cause a denial of service (memory consumption) via a crafted XML ENTITY declaration in a non-ASCII encoded document.
25,claf,>=0.1.6,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
26,websockets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,PVE-2022-50473,<10.0,"Websockets 10.0 includes a fix for a DoS vulnerability.
https://github.com/aaugustin/websockets/commit/0a935b8ec16f4430ffe638cdbfbe45f6f9d7f684"
27,websockets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2018-1000518,">=4.0.0,<5.0.0","Websockets 5.0 includes a fix for CVE-2018-1000518: aaugustin websockets version 4 contains a CWE-409 -Improper Handling of Highly Compressed Data (Data Amplification) vulnerability in Servers and clients, unless configured with compression=None that can result in Denial of Service by memory exhaustion. This attack appear to be exploitable via sending a specially crafted frame on an established connection.
https://github.com/aaugustin/websockets/pull/407"
28,websockets,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,CVE-2021-33880,">=8.0,<9.1",Websockets before 9.1 has an Observable Timing Discrepancy on servers when HTTP Basic Authentication is enabled with basic_auth_protocol_factory(credentials=...). An attacker may be able to guess a password via a timing attack.
29,asyncio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
30,geopy,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
31,todoist-python,>=8.0.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
32,PyGithub,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
33,python-twitter,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
34,JPype1,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
35,py-trello,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
36,xmljson,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
37,python-forecastio,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
38,python-jenkins,==*,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
39,arrow,>=0.15.4,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/requirements.txt,False,no one,no one,no one
40,plotly,>= 4.9.0,/home/daniele/git/NICHE_projects/Repo/Cloneables/kino-bot/dashboard/requirements.txt,False,no one,no one,no one
